territorio,nome,gap_studio_F_M,gap_lavoro_F_M,ribaltamento,pendolari,km_capoluogo
082015,Caltavuturo,3.0588235294117645,-8.421052631578949,11.479876160990713,964.0,66.96474178252313
082016,Campofelice di Fitalia,2.173913043478265,-2.9824561403508767,5.156369183829142,113.0,39.8811728137476
082017,Campofelice di Roccella,1.1447733580018493,-6.898424405858286,8.043197763860135,1792.0,52.91556309820391
082018,Campofiorito,-3.80952380952381,-7.366034396947413,3.5565105874236025,276.0,42.78946433410916
082019,Camporeale,4.020539713755053,-4.3501835168501835,8.370723230605236,782.0,33.46976362330633
082020,Capaci,-0.5460678146635942,-3.392209243158348,2.8461414284947537,2498.0,7.351361846624066
082021,Carini,3.3158180307242198,0.495022369390675,2.8207956613335448,8186.0,11.562077538228154
082022,Castelbuono,3.331385154880188,-5.416613505119752,8.74799865999994,2358.0,72.84197480162108
082023,Casteldaccia,8.341069678683787,2.1484855056748344,6.192584173008953,2373.0,23.216499068550366
082024,Castellana Sicula,7.056277056277054,-6.134112268224541,13.190389324501595,880.0,77.62016093773575
082025,Castronovo di Sicilia,7.180146635445858,6.469029379064562,0.7111172563812964,771.0,55.300656867708184
082026,Cefalà Diana,-1.7052767052767024,2.3670306445931715,-4.072307349869874,252.0,28.145078237588894
082027,Cefalù,-0.7370149376747381,-2.3761845604624767,1.6391696227877386,3866.0,66.01599961373
082028,Cerda,9.894482966536028,-10.171624713958813,20.06610768049484,1254.0,52.31039098496588
082029,Chiusa Sclafani,11.33806473948416,0.05378573109375395,11.284279008390406,636.0,52.68425808531425
082030,Ciminna,-2.675178079697776,-4.433776022971998,1.7585979432742214,759.0,36.16025511525051
082031,Cinisi,3.4833704862131185,7.976833424171858,-4.493462937958739,2861.0,17.361353403464836
082032,Collesano,-5.630630630630634,0.7370653540008405,-6.3676959846314745,1013.0,57.532487561377
082033,Contessa Entellina,9.788602941176471,-1.8115942028985508,11.600197144075022,420.0,47.78140747194456
082034,Corleone,-4.4407186590091445,-6.033782724937195,1.5930640659280506,2734.0,38.379833311258665
082035,Ficarazzi,4.152317478324285,-2.325595250507149,6.477912728831434,2472.0,14.376102009933012
082036,Gangi,-4.408410480516742,-0.767522609819121,-3.640887870697621,1801.0,91.12415743369043
082037,Geraci Siculo,3.459256042842668,-3.784722222222225,7.243978265064893,507.0,84.5521336454616
082038,Giardinello,9.44653723558389,-8.882404618473899,18.32894185405779,550.0,14.207997219875853
082039,Giuliana,2.925547445255475,-1.8832533013205293,4.808800746576004,419.0,53.84834115365115
082040,Godrano,9.093205354887601,-3.2505990325059884,12.34380438739359,320.0,32.14943895311394
082041,Gratteri,0.0,-3.668639053254438,3.668639053254438,234.0,61.41008067898951
082042,Isnello,25.141840026699303,-4.6762589928057565,29.81809901950506,417.0,65.9450434983555
082043,Isola delle Femmine,-2.2367324256738,5.238138298982335,-7.474870724656135,1782.0,7.897684787328498
082044,Lascari,5.902232376600509,0.974576271186443,4.927656105414066,902.0,56.78562157800159
082045,Lercara Friddi,-5.530303030303031,-10.584552442350606,5.054249412047575,1324.0,51.55505008241191
082046,Marineo,11.503241049825515,-8.777165844547675,20.28040689437319,1574.0,23.549702015099893
082047,Mezzojuso,-0.4991597060225246,-13.032217141951001,12.533057435928477,712.0,33.038145967956495
082048,Misilmeri,2.671917869565185,-9.756040467290404,12.427958336855589,5785.0,17.472558055419363
082049,Monreale,1.188400368360604,-2.081885994163464,3.270286362524068,8858.0,29.410755481626104
082050,Montelepre,4.079869889102369,-12.672227371022558,16.752097260124927,1516.0,13.07188605366494
082051,Montemaggiore Belsito,8.727896995708157,-13.252394856820857,21.980291852529014,727.0,52.293930049289656
082052,Palazzo Adriano,3.3271028037383203,-8.048380047954833,11.375482851693153,616.0,53.417610850729744
082053,Palermo,-0.11994948633033076,-1.9928525080781485,1.8729030217478178,161612.0,0.0
082054,Partinico,1.8661130316328514,-3.5789106145251424,5.445023646157994,6762.0,26.58954019910837
082055,Petralia Soprana,12.255469559388143,3.5389009361612125,8.71656862322693,883.0,80.86708289532893
082056,Petralia Sottana,-0.7133435624108309,-2.268393054300912,1.555049491890081,855.0,78.01790231735278
082057,Piana degli Albanesi,7.0726809779121,3.7058253803269423,3.3668555975851575,1469.0,19.122283153431237
082058,Polizzi Generosa,10.314083080040525,-0.7121123842817383,11.026195464322264,827.0,70.7101866070229
082059,Pollina,5.96669750231267,-7.704724409448822,13.671421911761492,654.0,72.9662465116577
082060,Prizzi,14.211613912120745,-9.259044526901672,23.470658439022415,1136.0,46.54680565839078
082061,Roccamena,7.351778656126481,-1.1985771729044217,8.550355829030902,350.0,37.5808697344806
082062,Roccapalumba,11.099465007096846,-14.829045913383265,25.92851092048011,536.0,48.02231594790072
082063,San Cipirello,4.570521509595487,-1.4199558351426091,5.990477344738096,1114.0,25.19705736787532
082064,San Giuseppe Jato,5.607737544601559,-11.033159280581962,16.64089682518352,1640.0,23.492657108126362
082065,San Mauro Castelverde,1.8978396931152801,-7.126936667572709,9.024776360687989,413.0,81.40436727842062
082066,Santa Cristina Gela,22.88961038961039,4.6430305973773685,18.24657979223302,216.0,18.191791692958667
082067,Santa Flavia,4.58609056052218,16.904402900233208,-12.318312339711028,2340.0,20.452868943011392
082068,Sciara,2.1705426356589186,-11.456080189923505,13.626622825582423,616.0,45.3021443752942
082069,Sclafani Bagni,-3.0,17.729941291585128,-20.729941291585128,108.0,60.671532863444284
082070,Termini Imerese,3.624459610528703,0.004293370796968787,3.6201662397317342,6272.0,40.02786105951703
082071,Terrasini,2.6934803382506516,-2.074390914661862,4.767871252912514,2649.0,20.385045351924045
082072,Torretta,4.513379484233013,1.7625700453627147,2.7508094388702986,1005.0,7.555230770797143
082073,Trabia,4.652333109556388,-3.259414752448066,7.911747862004454,2237.0,30.538236131119294
082074,Trappeto,5.313654267629161,-2.3380520885435416,7.651706356172703,610.0,23.02486516790055
082075,Ustica,2.247191011235955,-2.4752475247524752,4.722438535988431,263.0,63.904109014992144
082076,Valledolmo,-4.874835309617918,-13.752508361204011,8.877673051586093,835.0,62.42106315179196
082077,Ventimiglia di Sicilia,9.891328454202704,-19.79655712050078,29.687885574703483,392.0,24.902009959037446
082078,Vicari,6.2566799196272065,2.468032621828435,3.7886472977987715,607.0,44.93997672451556
082079,Villabate,0.8365358926406188,-4.107516712753096,4.944052605393715,4117.0,13.355201084221832
082080,Villafrati,13.559322033898304,-19.509480772638668,33.06880280653697,772.0,27.8212366547571
082081,Scillato,-0.3571428571428541,-0.8744038155802869,0.5172609584374328,139.0,62.685478453944974
082082,Blufi,3.2467532467532507,4.118114406779661,-0.8713611600264102,246.0,79.66773502491456
083001,Alcara li Fusi,7.278123233465237,1.1931196765319996,6.085003556933238,497.0,74.15167948199151
083002,Alì,-7.727272727272727,-15.613338148549417,7.88606542127669,188.0,17.251831265115015
083003,Alì Terme,7.96203093775442,3.339909252318016,4.6221216854364044,644.0,19.073308496430293
083004,Antillo,7.136305265088971,-4.678654678654681,11.814959943743652,223.0,34.61947511156112
083005,Barcellona Pozzo di Gotto,5.099719426537492,-3.539075572554939,8.63879499909243,10687.0,25.281365825445427
083006,Basicò,-1.2058570198105087,-11.853720050441364,10.647863030630855,126.0,41.20936574372384
083007,Brolo,3.442523506217775,4.739493487337185,-1.2969699811194104,1799.0,59.380007452003575
083008,Capizzi,4.227723876435821,-11.527534965034967,15.755258841470788,685.0,97.91685588293774
083009,Capo d'Orlando,-1.9216506656982535,-3.0073259418160383,1.0856752761177848,4140.0,69.02684374212687
083010,Capri Leone,-5.237396244746236,4.809002706374422,-10.046398951120658,1384.0,69.98106976175771
083011,Caronia,3.8503399437431973,-6.232548863183087,10.082888806926285,735.0,92.75347411822374
083012,Casalvecchio Siculo,-3.2894736842105203,-14.890686865209162,11.601213180998641,231.0,29.75462594286811
083013,Castel di Lucio,6.940090560780217,-6.716279069767445,13.656369630547662,379.0,111.6366064156377
083014,Castell'Umberto,10.907747714470403,3.887965016013794,7.019782698456609,897.0,62.38846768434051
083015,Castelmola,-5.679156908665107,-5.251798561151077,-0.4273583475140299,329.0,40.84257665720908
083016,Castroreale,4.415118931247967,-8.13438869739138,12.549507628639347,625.0,27.205157525733977
083017,Cesarò,2.2924426288597886,12.506552507426179,-10.21410987856639,624.0,82.16287717089757
083018,Condrò,-0.13262599469496195,-15.048793014894699,14.916167020199737,92.0,16.19302741923202
083019,Falcone,1.3014527845036312,-6.913731913731915,8.215184698235547,692.0,39.72097405653592
083020,Ficarra,-4.03846153846154,-1.622804810546974,-2.415656727914566,405.0,59.84146115361823
083021,Fiumedinisi,4.895350470571707,0.2652448826492346,4.630105587922472,389.0,19.056713488951868
083022,Floresta,8.806818181818187,-16.23931623931624,25.046134421134425,132.0,57.36747964657329
083023,Fondachelli-Fantina,6.049751243781095,-5.418439716312058,11.468190960093153,244.0,33.89312107198155
083024,Forza d'Agrò,10.191231343283583,-13.515853983479879,23.707085326763462,247.0,33.39746535292761
083025,Francavilla di Sicilia,2.5559947299077734,-2.29935753245417,4.855352262361944,1048.0,43.562163915489776
083026,Frazzanò,-7.267441860465116,2.9753643303261583,-10.242806190791274,219.0,68.05587599171727
083027,Furci Siculo,9.16811403246092,2.613361597827172,6.554752434633748,986.0,27.20065973464614
083028,Furnari,5.233787593984964,1.0582943822206516,4.175493211764312,861.0,35.70079405279384
083029,Gaggi,5.047870584351273,-4.189273085539988,9.23714366989126,784.0,42.50756963177265
083030,Galati Mamertino,-2.5440168946295714,3.486509971203077,-6.030526865832648,748.0,66.04869225806065
083031,Gallodoro,6.666666666666664,5.173992673992672,1.4926739926739927,95.0,35.20473725225058
083032,Giardini-Naxos,5.049145299145302,-0.41148325358851423,5.460628552733816,2525.0,44.16923930746374
083033,Gioiosa Marea,2.685853225475192,-4.688541152298406,7.374394377773598,1888.0,51.842722083239416
083034,Graniti,0.7917888563049829,0.5182435744800102,0.2735452818249726,349.0,40.29274366433738
083035,Gualtieri Sicaminò,9.404156064461404,-8.701930018770767,18.10608608323217,421.0,15.363113291257081
083036,Itala,7.477640665685506,-11.579781853967908,19.057422519653414,390.0,15.557826101354905
083037,Leni,17.5,-12.274774774774773,29.774774774774773,183.0,72.8250674012733
083038,Letojanni,-4.235434480015904,0.7180209171359593,-4.953455397151863,779.0,35.87833892476072
083039,Librizzi,9.090909090909093,-16.22038722090833,25.311296311817422,449.0,49.17411527419685
083040,Limina,11.790095411176743,-9.725765306122447,21.51586071729919,162.0,33.060993285138906
083041,Lipari,-1.658489012344274,-0.3299747620561462,-1.3285142502881278,3172.0,60.575023186128455
083042,Longi,13.311688311688307,6.278663463638345,7.033024848049962,431.0,68.98909613120034
083043,Malfa,10.57209769153563,2.4369864921320143,8.135111199403616,253.0,74.30298181096099
083044,Malvagna,-4.391672088484064,-2.8586171310629496,-1.5330549574211148,199.0,49.01277908872338
083045,Mandanici,10.245128849780016,4.285714285714285,5.959414564065732,144.0,24.235233462873843
083046,Mazzarrà Sant'Andrea,11.179017061370004,5.073529411764703,6.105487649605301,442.0,34.869360834405896
083047,Merì,-0.6178745116798154,-3.1473613595706667,2.529486847890851,674.0,22.30037004177285
083048,Messina,0.24236267471196826,-2.0954373893531333,2.3378000640651013,61832.0,0.0
083049,Milazzo,2.576729634588327,-3.0939226519337026,5.67065228652203,8178.0,24.57069549280199
083050,Militello Rosmarino,0.2070393374741215,3.8449801647848574,-3.637940827310736,287.0,77.06236508828418
083051,Mirto,-5.1108095884215246,3.0423848371465425,-8.153194425568067,256.0,67.23021348322494
