territorio,nome_comune,x,y
087014,Castiglione di Sicilia,504253,4186384
087015,Catania,504456,4146098
087016,Fiumefreddo di Sicilia,518228,4182019
087017,Giarre,514211,4174239
087018,Grammichele,466595,4119899
087019,Gravina di Catania,505655,4156370
087020,Licodia Eubea,471934,4111787
087021,Linguaglossa,509906,4185553
087022,Maletto,492210,4183938
087023,Mascali,514611,4179645
087024,Mascalucia,503284,4160063
087025,Militello in Val di Catania,482192,4125759
087026,Milo,510033,4176413
087027,Mineo,470541,4128437
087028,Mirabella Imbaccari,452037,4130700
087029,Misterbianco,501136,4150836
087030,Motta Sant'Anastasia,496986,4149566
087031,Nicolosi,500967,4169597
087032,Palagonia,478012,4132949
087033,Paternò,486229,4151807
087034,Pedara,505090,4165640
087035,Piedimonte Etneo,514294,4183838
087036,Raddusa,459089,4149240
087037,Ramacca,478389,4145200
087038,Randazzo,495983,4189601
087039,Riposto,517695,4173191
087040,San Cono,443943,4127210
087041,San Giovanni la Punta,508367,4158356
087042,San Gregorio di Catania,509755,4157032
087043,San Michele di Ganzaria,449373,4125451
087044,San Pietro Clarenza,501891,4157644
087045,Sant'Agata li Battiati,507082,4156432
087046,Sant'Alfio,508804,4178810
087047,Santa Maria di Licodia,491224,4164644
087048,Santa Venerina,512679,4170281
087049,Scordia,486666,4128122
087050,Trecastagni,506524,4166567
087051,Tremestieri Etneo,506159,4158956
087052,Valverde,510717,4159506
087053,Viagrande,508636,4163583
087054,Vizzini,480873,4116057
087055,Zafferana Etnea,506071,4172746
087056,Mazzarrone,461557,4104786
087057,Maniace,481531,4191725
087058,Ragalna,496263,4168746
088001,Acate,449946,4096322
088002,Chiaramonte Gulfi,467707,4100418
088003,Comiso,465667,4092182
088004,Giarratana,482700,4103031
088005,Ispica,493442,4068067
088006,Modica,481139,4076691
088007,Monterosso Almo,478454,4102949
088008,Pozzallo,487791,4065500
088009,Ragusa,469938,4084516
088010,Santa Croce Camerina,457041,4075373
088011,Scicli,471807,4070028
088012,Vittoria,455360,4090968
089001,Augusta,516388,4125217
089002,Avola,510559,4086275
089003,Buccheri,488766,4113043
089004,Buscemi,489641,4103940
089005,Canicattini Bagni,506591,4098973
089006,Carlentini,499042,4123714
089007,Cassaro,495714,4106508
089008,Ferla,494206,4110584
089009,Floridia,509707,4104022
089010,Francofonte,485521,4119149
089011,Lentini,490821,4131512
089012,Melilli,509658,4118890
089013,Noto,500792,4083033
089014,Pachino,506618,4061579
089015,Palazzolo Acreide,494007,4101498
089016,Rosolini,492744,4076934
089017,Siracusa,518976,4098297
089018,Solarino,509426,4106375
089019,Sortino,503366,4110467
089020,Portopalo di Capo Passero,508029,4058318
089021,Priolo Gargallo,515187,4110335
