territorio,nome,quota_fuori,atteso,residuo,km_capoluogo,pendolari,verso_palermo,fuori
083089,Santa Teresa di Riva,54.92851768246802,43.34736361990767,11.581154062560351,28.457963700869392,2658.0,0.0,1460.0
083090,San Teodoro,60.36585365853659,39.467253571186085,20.898600087350502,81.3220083187817,328.0,4.0,198.0
083091,Santo Stefano di Camastra,31.27792672028597,28.948548106096588,2.3293786141893804,102.51142541199981,1119.0,27.0,350.0
083092,Saponara,70.79107505070994,72.62383102435754,-1.8327559736476076,5.961141501424035,986.0,1.0,698.0
083093,Savoca,75.46777546777547,52.996076531439,22.471698936336466,28.711017205943783,481.0,0.0,363.0
083094,Scaletta Zanclea,69.80728051391863,63.499069587089224,6.308210926829403,14.481173329533764,467.0,3.0,326.0
083095,Sinagra,42.1875,39.497949448000014,2.689550551999986,58.78771168365035,768.0,1.0,324.0
083096,Spadafora,69.06170752324599,62.11371535199281,6.947992171253176,11.159857077937872,1183.0,3.0,817.0
083097,Taormina,27.430779137153895,36.62021433830596,-9.189435201152069,41.88554600336493,3106.0,0.0,852.0
083098,Torregrotta,65.65503287809813,55.04329191817455,10.611740959923573,14.67250874935844,1977.0,2.0,1298.0
083099,Tortorici,34.3198992443325,34.66516019624776,-0.3452609519152645,61.47852114356688,1588.0,4.0,545.0
083100,Tripi,42.487046632124354,52.9243619659224,-10.437315333798047,40.77756006678183,193.0,0.0,82.0
083101,Tusa,35.46325878594249,30.718861054694514,4.744397731247979,113.62087013396791,626.0,40.0,222.0
083102,Ucria,34.0,46.27223782914034,-12.272237829140337,57.4338861126426,250.0,0.0,85.0
083103,Valdina,74.93112947658402,65.86897753580482,9.062151940779202,13.617687101707103,363.0,2.0,272.0
083104,Venetico,67.60700389105058,61.302095985347755,6.3049079057028266,12.41996175517461,1028.0,2.0,695.0
083105,Villafranca Tirrena,65.18144235186035,66.98433504481778,-1.8028926929574283,6.414628672027711,2177.0,7.0,1419.0
083106,Terme Vigliatore,44.14278531925591,43.29026255822381,0.8525227610320982,31.883868397670945,1989.0,2.0,878.0
083107,Acquedolci,48.74063989108237,30.673459229890156,18.06718066119221,82.48245065466956,1469.0,16.0,716.0
083108,Torrenova,59.58083832335329,33.171781614804516,26.409056708548775,72.46379093036742,1336.0,13.0,796.0
084002,Alessandria della Rocca,35.14563106796116,53.643459626218494,-18.497828558257332,26.803107170624827,515.0,12.0,181.0
084003,Aragona,46.457023060796644,57.626262067942186,-11.169239007145542,11.516643695104923,2385.0,52.0,1108.0
084004,Bivona,31.47138964577657,48.73769529046204,-17.266305644685474,32.431637716896134,734.0,27.0,231.0
084005,Burgio,35.49920760697306,45.45928402153373,-9.960076414560675,42.67336558088663,631.0,12.0,224.0
084006,Calamonaci,55.6,54.79616595269526,0.8038340473047398,32.65780347788259,250.0,4.0,139.0
084007,Caltabellotta,37.79971791255289,44.71495145574449,-6.915233543191597,42.892622034564404,709.0,12.0,268.0
084008,Camastra,54.14746543778802,58.272486179166314,-4.125020741378293,21.047634831495913,434.0,6.0,235.0
084009,Cammarata,41.8086500655308,42.13764477830513,-0.3289947127743318,38.04881019164725,1526.0,60.0,638.0
084010,Campobello di Licata,32.630570196454244,44.060808688729615,-11.430238492275372,29.750243444382097,2087.0,17.0,681.0
084011,Canicattì,19.561611374407583,39.77172154318106,-20.210110168773475,23.27404000168428,8440.0,34.0,1651.0
084012,Casteltermini,33.313782991202345,48.99025403312715,-15.676471041924806,23.17270387762291,1705.0,89.0,568.0
084013,Castrofilippo,39.37728937728938,61.6689152617184,-22.291625884429024,15.40709083506682,546.0,2.0,215.0
084014,Cattolica Eraclea,38.21022727272727,54.24573350601305,-16.03550623328578,22.877325411857043,704.0,26.0,269.0
084015,Cianciana,38.27160493827161,53.61058401779571,-15.338979079524101,24.62169825580681,648.0,27.0,248.0
084016,Comitini,65.45454545454545,70.82064816933895,-5.366102714793499,11.860478658131804,220.0,6.0,144.0
084017,Favara,43.72628383506198,57.369244714351865,-13.642960879289888,7.438016536685033,7906.0,100.0,3457.0
084018,Grotte,50.76305220883534,57.43369388226694,-6.6706416734315965,14.923340946316277,1245.0,13.0,632.0
084019,Joppolo Giancaxio,68.42105263157895,76.16699396257007,-7.74594133099113,7.545911210715377,285.0,10.0,195.0
084020,Lampedusa e Linosa,0.0,14.884763028430086,-14.884763028430086,219.11067702191056,1761.0,0.0,0.0
084021,Licata,16.85364281108962,34.42910861529054,-17.575465804200917,34.235653053505494,7755.0,32.0,1307.0
084022,Lucca Sicula,57.08061002178649,50.30630182944164,6.774308192344854,34.92392661199482,459.0,7.0,262.0
084023,Menfi,21.40684410646388,31.470488873814624,-10.063644767350745,62.74396280918189,2630.0,79.0,563.0
084024,Montallegro,47.758284600389864,57.61538829757514,-9.857103697185273,20.633720411016526,513.0,12.0,245.0
084025,Montevago,51.36518771331058,38.53733146938081,12.827856243929773,69.41243494504425,586.0,24.0,301.0
084026,Naro,29.750479846449135,55.06849418533073,-25.318014338881593,16.012396510204212,1563.0,9.0,465.0
084027,Palma di Montechiaro,34.657442535148405,44.23005262120501,-9.572610086056606,22.02154165811286,4481.0,15.0,1553.0
084028,Porto Empedocle,44.89616847031296,61.94522387759163,-17.049055407278672,7.547705611641196,3419.0,51.0,1535.0
084029,Racalmuto,46.86046511627907,53.08101843174152,-6.220553315462446,17.61443399601588,1720.0,19.0,806.0
084030,Raffadali,52.80652242082157,56.98246446680089,-4.175942045979319,10.765298927572797,3189.0,89.0,1684.0
084031,Ravanusa,34.11154345006485,40.349120602279825,-6.237577152214975,36.587198977237925,2313.0,12.0,789.0
084032,Realmonte,51.42857142857143,62.36624803559447,-10.937676607023036,11.786422060998833,980.0,13.0,504.0
084033,Ribera,23.755760368663594,39.710808556662165,-15.955048187998571,30.06777630620529,4340.0,70.0,1031.0
084034,Sambuca di Sicilia,28.528974739970284,37.50274099963458,-8.973766259664298,54.23984079991386,1346.0,57.0,384.0
