territorio,anno,eta,genere,popolazione,occupati,tasso_occupazione,quota_casalinghe,nome_territorio
ITG1,2019,Y15-24,M,274852.0,42314.0,15.3952,0.7877,Sicilia
ITG1,2019,Y25-49,F,789516.0,306461.0,38.8163,32.5727,Sicilia
ITG1,2019,Y25-49,M,787179.0,501841.0,63.7518,1.7488,Sicilia
ITG1,2019,Y50-64,F,545678.0,200887.0,36.8142,43.6576,Sicilia
ITG1,2019,Y50-64,M,505158.0,326307.0,64.595,2.2593,Sicilia
ITG1,2020,Y25-49,F,766619.0,,,,Sicilia
ITG1,2020,Y25-49,M,758611.0,,,,Sicilia
ITG1,2020,Y50-64,F,546169.0,,,,Sicilia
ITG1,2020,Y50-64,M,506239.0,,,,Sicilia
ITG1,2021,Y15-24,F,245867.0,20693.0,8.4163,12.0427,Sicilia
ITG1,2021,Y15-24,M,266915.0,45806.0,17.1613,1.4263,Sicilia
ITG1,2021,Y25-49,F,754026.0,317820.0,42.1497,36.6807,Sicilia
ITG1,2021,Y25-49,M,755724.0,503715.0,66.6533,3.2675,Sicilia
ITG1,2021,Y50-64,F,553456.0,211394.0,38.1953,45.8025,Sicilia
ITG1,2021,Y50-64,M,516848.0,337083.0,65.219,4.0862,Sicilia
ITG1,2022,Y15-24,F,245647.0,22947.0,9.3415,10.0192,Sicilia
ITG1,2022,Y15-24,M,266072.0,49618.0,18.6483,1.0261,Sicilia
ITG1,2022,Y25-49,F,740631.0,321443.0,43.4012,34.8658,Sicilia
ITG1,2022,Y25-49,M,744340.0,505725.0,67.9427,3.0548,Sicilia
ITG1,2022,Y50-64,F,556996.0,214185.0,38.4536,45.0469,Sicilia
ITG1,2022,Y50-64,M,520304.0,341693.0,65.6718,4.1023,Sicilia
ITG1,2023,Y15-24,F,244677.0,24320.0,9.9396,9.9413,Sicilia
ITG1,2023,Y15-24,M,265609.0,51168.0,19.2644,1.2381,Sicilia
ITG1,2023,Y25-49,F,726772.0,333708.0,45.9165,33.8844,Sicilia
ITG1,2023,Y25-49,M,733637.0,509086.0,69.3921,3.3701,Sicilia
ITG1,2023,Y50-64,F,560218.0,225447.0,40.2427,43.5563,Sicilia
ITG1,2023,Y50-64,M,523898.0,353918.0,67.5548,4.4192,Sicilia
ITG1,2024,Y15-24,F,243292.0,25326.0,10.4097,10.0647,Sicilia
ITG1,2024,Y15-24,M,265707.0,53848.0,20.2659,1.24,Sicilia
ITG1,2024,Y25-49,F,714135.0,340079.0,47.6211,33.215,Sicilia
ITG1,2024,Y25-49,M,724119.0,513196.0,70.8718,2.9391,Sicilia
ITG1,2024,Y50-64,F,563944.0,235478.0,41.7556,43.5127,Sicilia
ITG1,2024,Y50-64,M,526910.0,363879.0,69.059,3.9589,Sicilia
