territorio,nome,treno,oltre_30_min,quota_fuori,km_capoluogo,pendolari,pendolari_fuori
082037,Geraci Siculo,0.0,38.148148148148145,34.12228796844182,84.5521336454616,507.0,270.0
082038,Giardinello,0.0,33.57400722021661,69.45454545454545,14.207997219875853,550.0,554.0
082039,Giuliana,0.0,45.55873925501432,56.32458233890215,53.84834115365115,419.0,349.0
082040,Godrano,0.0,61.083743842364534,30.9375,32.14943895311394,320.0,203.0
082041,Gratteri,5.109489051094891,37.22627737226277,38.034188034188034,61.41008067898951,234.0,137.0
082042,Isnello,3.6144578313253013,57.2289156626506,25.41966426858513,65.9450434983555,417.0,166.0
082043,Isola delle Femmine,7.08245243128964,30.232558139534884,66.10549943883277,7.897684787328498,1782.0,1892.0
082044,Lascari,6.683168316831683,20.792079207920793,61.86252771618625,56.78562157800159,902.0,808.0
082045,Lercara Friddi,1.6605166051660516,60.701107011070114,25.906344410876134,51.55505008241191,1324.0,542.0
082046,Marineo,0.0,56.576980568011955,57.49682337992376,23.549702015099893,1574.0,1338.0
082047,Mezzojuso,0.0,65.59139784946237,48.45505617977528,33.038145967956495,712.0,558.0
082048,Misilmeri,0.2092789243812623,44.01726328109389,59.291270527225585,17.472558055419363,5785.0,5604.96
082049,Monreale,0.1339999729541339,38.631946331166795,62.384285391736285,29.410755481626104,8858.0,8134.33
082050,Montelepre,0.0,43.04761904761905,65.63324538258576,13.07188605366494,1516.0,1575.0
082051,Montemaggiore Belsito,6.692160611854685,75.1434034416826,48.693259972489685,52.293930049289656,727.0,523.0
082052,Palazzo Adriano,0.0,65.0326797385621,23.7012987012987,53.417610850729744,616.0,306.0
082053,Palermo,2.999688344068149,51.142449846480595,5.8943642798802065,0.0,161612.0,10396.08
082054,Partinico,1.6517693980888442,53.902682218019365,31.26293995859213,26.58954019910837,6762.0,2818.19
082055,Petralia Soprana,0.0,36.496350364963504,34.088335220838054,80.86708289532893,883.0,411.0
082056,Petralia Sottana,0.0,39.733333333333334,29.473684210526315,78.01790231735278,855.0,375.0
082057,Piana degli Albanesi,0.0966183574879227,75.65217391304348,43.83934649421375,19.122283153431237,1469.0,1035.0
082058,Polizzi Generosa,0.0,59.20679886685552,28.536880290205563,70.7101866070229,827.0,353.0
082059,Pollina,9.070796460176991,43.14159292035398,42.50764525993884,72.9662465116577,654.0,452.0
082060,Prizzi,0.0,52.68595041322314,29.401408450704224,46.54680565839078,1136.0,484.0
082061,Roccamena,0.0,47.417840375586856,38.57142857142857,37.5808697344806,350.0,213.0
082062,Roccapalumba,12.919896640826874,59.17312661498708,42.16417910447761,48.02231594790072,536.0,387.0
082063,San Cipirello,0.0,35.941043083900226,46.319569120287255,25.19705736787532,1114.0,882.0
082064,San Giuseppe Jato,0.0,40.03164556962025,45.91463414634146,23.492657108126362,1640.0,1264.0
082065,San Mauro Castelverde,1.2422360248447204,86.95652173913044,17.19128329297821,81.40436727842062,413.0,161.0
082066,Santa Cristina Gela,0.0,56.306306306306304,54.629629629629626,18.191791692958667,216.0,222.0
082067,Santa Flavia,13.362939039160274,29.51150585385547,60.427350427350426,20.452868943011392,2340.0,2477.0
082068,Sciara,6.235565819861431,35.56581986143187,45.94155844155844,45.3021443752942,616.0,433.0
082069,Sclafani Bagni,0.0,71.42857142857143,19.444444444444443,60.671532863444284,108.0,42.0
082070,Termini Imerese,37.51909213478674,70.99488057154514,21.779336734693878,40.02786105951703,6272.0,2009.99
082071,Terrasini,4.769076305220883,38.20281124497992,47.07436768591921,20.385045351924045,2649.0,1992.0
082072,Torretta,1.4245014245014245,32.95346628679962,63.28358208955224,7.555230770797143,1005.0,1053.0
082073,Trabia,22.24428997020854,41.559086395233365,57.890031291908805,30.538236131119294,2237.0,2014.0
082074,Trappeto,0.8210180623973727,28.07881773399015,63.9344262295082,23.02486516790055,610.0,609.0
082075,Ustica,0.0,100.0,1.9011406844106464,63.904109014992144,263.0,7.0
082076,Valledolmo,2.335456475583864,45.859872611464965,40.23952095808383,62.42106315179196,835.0,471.0
082077,Ventimiglia di Sicilia,0.0,64.13793103448276,44.89795918367347,24.902009959037446,392.0,290.0
082078,Vicari,0.49875311720698257,46.63341645885287,49.093904448105434,44.93997672451556,607.0,401.0
082079,Villabate,0.19496892545834127,33.339248120959596,71.43551129463201,13.355201084221832,4117.0,4564.83
