territorio,anno,genere,eta,stato_civile,cittadinanza,valore
082006,2021,F,Y75-79,ALL,TOTAL,1111
082006,2022,F,Y75-79,ALL,TOTAL,1160
082006,2023,F,Y75-79,ALL,TOTAL,1240
082006,2024,F,Y75-79,ALL,TOTAL,1306
082006,2001,F,Y80-84,ALL,TOTAL,396
082006,2011,F,Y80-84,ALL,TOTAL,744
082006,2018,F,Y80-84,ALL,TOTAL,893
082006,2019,F,Y80-84,ALL,TOTAL,919
082006,2020,F,Y80-84,ALL,TOTAL,900
082006,2021,F,Y80-84,ALL,TOTAL,905
082006,2022,F,Y80-84,ALL,TOTAL,888
082006,2023,F,Y80-84,ALL,TOTAL,848
082006,2024,F,Y80-84,ALL,TOTAL,848
082006,2001,F,Y85-89,ALL,TOTAL,284
082006,2011,F,Y85-89,ALL,TOTAL,436
082006,2018,F,Y85-89,ALL,TOTAL,533
082006,2019,F,Y85-89,ALL,TOTAL,542
082006,2020,F,Y85-89,ALL,TOTAL,573
082006,2021,F,Y85-89,ALL,TOTAL,595
082006,2022,F,Y85-89,ALL,TOTAL,604
082006,2023,F,Y85-89,ALL,TOTAL,639
082006,2024,F,Y85-89,ALL,TOTAL,626
082006,2001,F,Y90-94,ALL,TOTAL,81
082006,2011,F,Y90-94,ALL,TOTAL,135
082006,2018,F,Y90-94,ALL,TOTAL,217
082006,2019,F,Y90-94,ALL,TOTAL,208
082006,2020,F,Y90-94,ALL,TOTAL,220
082006,2021,F,Y90-94,ALL,TOTAL,229
082006,2022,F,Y90-94,ALL,TOTAL,230
082006,2023,F,Y90-94,ALL,TOTAL,234
082006,2024,F,Y90-94,ALL,TOTAL,261
082006,2001,F,Y95-99,ALL,TOTAL,22
082006,2011,F,Y95-99,ALL,TOTAL,29
082006,2018,F,Y95-99,ALL,TOTAL,51
082006,2019,F,Y95-99,ALL,TOTAL,57
082006,2020,F,Y95-99,ALL,TOTAL,53
082006,2021,F,Y95-99,ALL,TOTAL,60
082006,2022,F,Y95-99,ALL,TOTAL,55
082006,2023,F,Y95-99,ALL,TOTAL,50
082006,2024,F,Y95-99,ALL,TOTAL,55
082006,2001,M,TOTAL,ALL,TOTAL,24773
082006,2011,M,TOTAL,ALL,TOTAL,26342
082006,2018,M,TOTAL,ALL,TOTAL,26182
082006,2019,M,TOTAL,ALL,TOTAL,26035
082006,2020,M,TOTAL,ALL,TOTAL,25797
082006,2021,M,TOTAL,ALL,TOTAL,25972
082006,2022,M,TOTAL,ALL,TOTAL,25886
082006,2023,M,TOTAL,ALL,TOTAL,25875
082006,2024,M,TOTAL,ALL,TOTAL,25927
082006,2011,M,Y_GE100,ALL,TOTAL,1
082006,2018,M,Y_GE100,ALL,TOTAL,1
082006,2020,M,Y_GE100,ALL,TOTAL,1
082006,2021,M,Y_GE100,ALL,TOTAL,2
082006,2022,M,Y_GE100,ALL,TOTAL,2
082006,2023,M,Y_GE100,ALL,TOTAL,2
082006,2024,M,Y_GE100,ALL,TOTAL,1
082006,2001,M,Y_UN4,ALL,TOTAL,1528
082006,2011,M,Y_UN4,ALL,TOTAL,1482
082006,2018,M,Y_UN4,ALL,TOTAL,1376
082006,2019,M,Y_UN4,ALL,TOTAL,1346
082006,2020,M,Y_UN4,ALL,TOTAL,1350
082006,2021,M,Y_UN4,ALL,TOTAL,1306
082006,2022,M,Y_UN4,ALL,TOTAL,1284
082006,2023,M,Y_UN4,ALL,TOTAL,1262
082006,2024,M,Y_UN4,ALL,TOTAL,1211
082006,2001,M,Y10-14,ALL,TOTAL,1895
082006,2011,M,Y10-14,ALL,TOTAL,1611
082006,2018,M,Y10-14,ALL,TOTAL,1483
082006,2019,M,Y10-14,ALL,TOTAL,1462
082006,2020,M,Y10-14,ALL,TOTAL,1496
082006,2021,M,Y10-14,ALL,TOTAL,1510
082006,2022,M,Y10-14,ALL,TOTAL,1486
082006,2023,M,Y10-14,ALL,TOTAL,1477
082006,2024,M,Y10-14,ALL,TOTAL,1457
082006,2001,M,Y15-19,ALL,TOTAL,1823
082006,2011,M,Y15-19,ALL,TOTAL,1744
082006,2018,M,Y15-19,ALL,TOTAL,1552
082006,2019,M,Y15-19,ALL,TOTAL,1562
082006,2020,M,Y15-19,ALL,TOTAL,1545
082006,2021,M,Y15-19,ALL,TOTAL,1514
082006,2022,M,Y15-19,ALL,TOTAL,1532
082006,2023,M,Y15-19,ALL,TOTAL,1506
082006,2024,M,Y15-19,ALL,TOTAL,1489
082006,2001,M,Y20-24,ALL,TOTAL,1845
082006,2011,M,Y20-24,ALL,TOTAL,1871
082006,2018,M,Y20-24,ALL,TOTAL,1654
082006,2019,M,Y20-24,ALL,TOTAL,1589
082006,2020,M,Y20-24,ALL,TOTAL,1507
082006,2021,M,Y20-24,ALL,TOTAL,1525
082006,2022,M,Y20-24,ALL,TOTAL,1503
082006,2023,M,Y20-24,ALL,TOTAL,1492
082006,2024,M,Y20-24,ALL,TOTAL,1533
082006,2001,M,Y25-29,ALL,TOTAL,1867
082006,2011,M,Y25-29,ALL,TOTAL,1794
082006,2018,M,Y25-29,ALL,TOTAL,1701
082006,2019,M,Y25-29,ALL,TOTAL,1610
082006,2020,M,Y25-29,ALL,TOTAL,1470
082006,2021,M,Y25-29,ALL,TOTAL,1464
082006,2022,M,Y25-29,ALL,TOTAL,1482
082006,2023,M,Y25-29,ALL,TOTAL,1475
082006,2024,M,Y25-29,ALL,TOTAL,1458
082006,2001,M,Y30-34,ALL,TOTAL,1913
082006,2011,M,Y30-34,ALL,TOTAL,1847
082006,2018,M,Y30-34,ALL,TOTAL,1693
082006,2019,M,Y30-34,ALL,TOTAL,1676
082006,2020,M,Y30-34,ALL,TOTAL,1615
082006,2021,M,Y30-34,ALL,TOTAL,1617
082006,2022,M,Y30-34,ALL,TOTAL,1591
082006,2023,M,Y30-34,ALL,TOTAL,1559
082006,2024,M,Y30-34,ALL,TOTAL,1535
082006,2001,M,Y35-39,ALL,TOTAL,1990
082006,2011,M,Y35-39,ALL,TOTAL,1951
082006,2018,M,Y35-39,ALL,TOTAL,1775
082006,2019,M,Y35-39,ALL,TOTAL,1731
082006,2020,M,Y35-39,ALL,TOTAL,1630
082006,2021,M,Y35-39,ALL,TOTAL,1667
082006,2022,M,Y35-39,ALL,TOTAL,1596
082006,2023,M,Y35-39,ALL,TOTAL,1615
082006,2024,M,Y35-39,ALL,TOTAL,1641
082006,2001,M,Y40-44,ALL,TOTAL,1705
082006,2011,M,Y40-44,ALL,TOTAL,1977
082006,2018,M,Y40-44,ALL,TOTAL,1863
082006,2019,M,Y40-44,ALL,TOTAL,1815
082006,2020,M,Y40-44,ALL,TOTAL,1832
082006,2021,M,Y40-44,ALL,TOTAL,1770
082006,2022,M,Y40-44,ALL,TOTAL,1761
082006,2023,M,Y40-44,ALL,TOTAL,1713
082006,2024,M,Y40-44,ALL,TOTAL,1701
082006,2001,M,Y45-49,ALL,TOTAL,1524
082006,2011,M,Y45-49,ALL,TOTAL,1956
082006,2018,M,Y45-49,ALL,TOTAL,1893
082006,2019,M,Y45-49,ALL,TOTAL,1871
082006,2020,M,Y45-49,ALL,TOTAL,1819
082006,2021,M,Y45-49,ALL,TOTAL,1884
082006,2022,M,Y45-49,ALL,TOTAL,1890
082006,2023,M,Y45-49,ALL,TOTAL,1882
082006,2024,M,Y45-49,ALL,TOTAL,1854
082006,2001,M,Y50-54,ALL,TOTAL,1545
082006,2011,M,Y50-54,ALL,TOTAL,1715
082006,2018,M,Y50-54,ALL,TOTAL,1905
082006,2019,M,Y50-54,ALL,TOTAL,1927
082006,2020,M,Y50-54,ALL,TOTAL,1903
082006,2021,M,Y50-54,ALL,TOTAL,1902
082006,2022,M,Y50-54,ALL,TOTAL,1908
082006,2023,M,Y50-54,ALL,TOTAL,1884
082006,2024,M,Y50-54,ALL,TOTAL,1865
082006,2001,M,Y55-59,ALL,TOTAL,1214
082006,2011,M,Y55-59,ALL,TOTAL,1484
082006,2018,M,Y55-59,ALL,TOTAL,1787
082006,2019,M,Y55-59,ALL,TOTAL,1797
082006,2020,M,Y55-59,ALL,TOTAL,1837
082006,2021,M,Y55-59,ALL,TOTAL,1898
082006,2022,M,Y55-59,ALL,TOTAL,1835
082006,2023,M,Y55-59,ALL,TOTAL,1891
