origine,genere,motivo,luogo,verso_palermo,mezzo,orario,durata,stima
081001,F,studio,dentro,False,auto privata (conducente),prima delle 7:15,oltre 60 min,1.0
081001,F,studio,dentro,False,auto privata (passeggero),7:15-8:14,16-30 min,84.84
081001,F,studio,dentro,False,auto privata (passeggero),7:15-8:14,31-60 min,11.19
081001,F,studio,dentro,False,auto privata (passeggero),7:15-8:14,fino a 15 min,1013.41
081001,F,studio,dentro,False,auto privata (passeggero),7:15-8:14,oltre 60 min,10.92
081001,F,studio,dentro,False,auto privata (passeggero),8:15-9:14,16-30 min,15.23
081001,F,studio,dentro,False,auto privata (passeggero),8:15-9:14,fino a 15 min,577.77
081001,F,studio,dentro,False,auto privata (passeggero),8:15-9:14,oltre 60 min,3.19
081001,F,studio,dentro,False,auto privata (passeggero),dopo le 9:14,fino a 15 min,12.22
081001,F,studio,dentro,False,auto privata (passeggero),dopo le 9:14,oltre 60 min,2.16
081001,F,studio,dentro,False,auto privata (passeggero),prima delle 7:15,16-30 min,6.36
081001,F,studio,dentro,False,auto privata (passeggero),prima delle 7:15,31-60 min,11.54
081001,F,studio,dentro,False,auto privata (passeggero),prima delle 7:15,fino a 15 min,17.25
081001,F,studio,dentro,False,auto privata (passeggero),prima delle 7:15,oltre 60 min,2.43
081001,F,studio,dentro,False,autobus aziendale o scolastico,7:15-8:14,16-30 min,2.55
081001,F,studio,dentro,False,autobus aziendale o scolastico,7:15-8:14,31-60 min,1.73
081001,F,studio,dentro,False,autobus aziendale o scolastico,7:15-8:14,fino a 15 min,4.75
081001,F,studio,dentro,False,autobus aziendale o scolastico,8:15-9:14,fino a 15 min,4.18
081001,F,studio,dentro,False,autobus aziendale o scolastico,dopo le 9:14,16-30 min,1.0
081001,F,studio,dentro,False,autobus aziendale o scolastico,prima delle 7:15,16-30 min,2.84
081001,F,studio,dentro,False,autobus aziendale o scolastico,prima delle 7:15,31-60 min,2.21
081001,F,studio,dentro,False,"autobus urbano, filobus",7:15-8:14,16-30 min,6.6
081001,F,studio,dentro,False,"autobus urbano, filobus",7:15-8:14,fino a 15 min,3.39
081001,F,studio,dentro,False,"autobus urbano, filobus",8:15-9:14,fino a 15 min,1.94
081001,F,studio,dentro,False,"autobus urbano, filobus",prima delle 7:15,16-30 min,3.19
081001,F,studio,dentro,False,"autobus urbano, filobus",prima delle 7:15,31-60 min,1.86
081001,F,studio,dentro,False,"autobus urbano, filobus",prima delle 7:15,fino a 15 min,1.42
081001,F,studio,dentro,False,"autobus urbano, filobus",prima delle 7:15,oltre 60 min,1.0
081001,F,studio,dentro,False,bicicletta,7:15-8:14,fino a 15 min,3.79
081001,F,studio,dentro,False,"corriera, autobus extra-urbano",7:15-8:14,16-30 min,6.22
081001,F,studio,dentro,False,"corriera, autobus extra-urbano",7:15-8:14,31-60 min,2.03
081001,F,studio,dentro,False,"corriera, autobus extra-urbano",dopo le 9:14,31-60 min,2.15
081001,F,studio,dentro,False,"corriera, autobus extra-urbano",prima delle 7:15,16-30 min,2.27
081001,F,studio,dentro,False,"corriera, autobus extra-urbano",prima delle 7:15,31-60 min,2.16
081001,F,studio,dentro,False,"corriera, autobus extra-urbano",prima delle 7:15,oltre 60 min,1.98
081001,F,studio,dentro,False,"motocicletta, ciclomotore, scooter",7:15-8:14,16-30 min,8.94
081001,F,studio,dentro,False,"motocicletta, ciclomotore, scooter",7:15-8:14,fino a 15 min,361.11
081001,F,studio,dentro,False,"motocicletta, ciclomotore, scooter",8:15-9:14,fino a 15 min,6.87
081001,F,studio,dentro,False,"motocicletta, ciclomotore, scooter",prima delle 7:15,fino a 15 min,5.77
081001,F,studio,dentro,False,"motocicletta, ciclomotore, scooter",prima delle 7:15,oltre 60 min,1.82
081001,F,studio,fuori,False,auto privata (conducente),7:15-8:14,16-30 min,6.5
081001,F,studio,fuori,False,auto privata (conducente),7:15-8:14,31-60 min,9.33
081001,F,studio,fuori,False,auto privata (conducente),7:15-8:14,oltre 60 min,3.07
081001,F,studio,fuori,False,auto privata (conducente),dopo le 9:14,16-30 min,2.81
081001,F,studio,fuori,False,auto privata (conducente),prima delle 7:15,31-60 min,1.0
081001,F,studio,fuori,False,auto privata (passeggero),7:15-8:14,16-30 min,5.9399999999999995
081001,F,studio,fuori,False,auto privata (passeggero),7:15-8:14,31-60 min,5.2
081001,F,studio,fuori,False,auto privata (passeggero),7:15-8:14,fino a 15 min,10.17
081001,F,studio,fuori,False,auto privata (passeggero),8:15-9:14,fino a 15 min,2.0
081001,F,studio,fuori,False,auto privata (passeggero),prima delle 7:15,31-60 min,3.38
081001,F,studio,fuori,False,autobus aziendale o scolastico,7:15-8:14,16-30 min,4.35
081001,F,studio,fuori,False,autobus aziendale o scolastico,7:15-8:14,fino a 15 min,2.69
081001,F,studio,fuori,False,"autobus urbano, filobus",7:15-8:14,16-30 min,2.23
081001,F,studio,fuori,False,"autobus urbano, filobus",7:15-8:14,31-60 min,3.4899999999999998
081001,F,studio,fuori,False,"autobus urbano, filobus",7:15-8:14,fino a 15 min,2.3
081001,F,studio,fuori,False,"autobus urbano, filobus",prima delle 7:15,31-60 min,8.61
081001,F,studio,fuori,False,"corriera, autobus extra-urbano",7:15-8:14,16-30 min,10.79
081001,F,studio,fuori,False,"corriera, autobus extra-urbano",7:15-8:14,31-60 min,19.02
081001,F,studio,fuori,False,"corriera, autobus extra-urbano",7:15-8:14,fino a 15 min,2.76
081001,F,studio,fuori,False,"corriera, autobus extra-urbano",7:15-8:14,oltre 60 min,2.89
081001,F,studio,fuori,False,"corriera, autobus extra-urbano",prima delle 7:15,31-60 min,11.84
081001,F,studio,fuori,False,"corriera, autobus extra-urbano",prima delle 7:15,oltre 60 min,16.18
081001,F,studio,fuori,True,auto privata (conducente),7:15-8:14,31-60 min,3.35
081001,F,studio,fuori,True,auto privata (conducente),7:15-8:14,oltre 60 min,2.63
081001,F,studio,fuori,True,auto privata (conducente),prima delle 7:15,31-60 min,2.3
081001,F,studio,fuori,True,auto privata (passeggero),7:15-8:14,16-30 min,3.09
081001,F,studio,fuori,True,auto privata (passeggero),prima delle 7:15,oltre 60 min,11.51
081001,F,studio,fuori,True,autobus aziendale o scolastico,7:15-8:14,16-30 min,1.84
081001,F,studio,fuori,True,autobus aziendale o scolastico,prima delle 7:15,16-30 min,2.65
081001,F,studio,fuori,True,autobus aziendale o scolastico,prima delle 7:15,31-60 min,1.0
081001,F,studio,fuori,True,autobus aziendale o scolastico,prima delle 7:15,oltre 60 min,2.46
081001,F,studio,fuori,True,"autobus urbano, filobus",7:15-8:14,oltre 60 min,3.18
081001,F,studio,fuori,True,"autobus urbano, filobus",dopo le 9:14,31-60 min,2.92
081001,F,studio,fuori,True,"autobus urbano, filobus",prima delle 7:15,31-60 min,3.99
081001,F,studio,fuori,True,"autobus urbano, filobus",prima delle 7:15,oltre 60 min,20.12
081001,F,studio,fuori,True,"corriera, autobus extra-urbano",7:15-8:14,31-60 min,5.92
081001,F,studio,fuori,True,"corriera, autobus extra-urbano",7:15-8:14,oltre 60 min,7.29
081001,F,studio,fuori,True,"corriera, autobus extra-urbano",prima delle 7:15,31-60 min,40.76
