territorio,anno,genere,eta,cittadinanza,titolo_studio,condizione,valore
081001,2019,T,Y_GE15,TOTAL,ALL,99,39191.0
081001,2021,T,Y_GE15,TOTAL,ALL,99,38892.0
081001,2022,T,Y_GE15,TOTAL,ALL,99,38909.0
081001,2023,T,Y_GE15,TOTAL,ALL,99,38961.0
081001,2024,T,Y_GE15,TOTAL,ALL,99,39008.0
081002,2018,F,Y_GE15,TOTAL,ALL,1,327.0
081002,2019,F,Y_GE15,TOTAL,ALL,1,329.0
081002,2021,F,Y_GE15,TOTAL,ALL,1,338.0
081002,2022,F,Y_GE15,TOTAL,ALL,1,339.0
081002,2023,F,Y_GE15,TOTAL,ALL,1,343.0
081002,2024,F,Y_GE15,TOTAL,ALL,1,379.0
081002,2018,F,Y_GE15,TOTAL,ALL,12,114.0
081002,2019,F,Y_GE15,TOTAL,ALL,12,109.0
081002,2021,F,Y_GE15,TOTAL,ALL,12,71.7455702757859
081002,2022,F,Y_GE15,TOTAL,ALL,12,66.4354705106107
081002,2023,F,Y_GE15,TOTAL,ALL,12,88.1576447602653
081002,2024,F,Y_GE15,TOTAL,ALL,12,63.26563082357968
081002,2018,F,Y_GE15,TOTAL,ALL,22,440.0
081002,2019,F,Y_GE15,TOTAL,ALL,22,438.0
081002,2021,F,Y_GE15,TOTAL,ALL,22,409.745570275786
081002,2022,F,Y_GE15,TOTAL,ALL,22,405.435470510611
081002,2023,F,Y_GE15,TOTAL,ALL,22,431.15764476026527
081002,2024,F,Y_GE15,TOTAL,ALL,22,442.26563082357967
081002,2018,F,Y_GE15,TOTAL,ALL,23,850.0
081002,2019,F,Y_GE15,TOTAL,ALL,23,817.0
081002,2021,F,Y_GE15,TOTAL,ALL,23,838.254429724214
081002,2022,F,Y_GE15,TOTAL,ALL,23,833.564529489389
081002,2023,F,Y_GE15,TOTAL,ALL,23,796.8423552397347
081002,2024,F,Y_GE15,TOTAL,ALL,23,793.7343691764203
081002,2018,F,Y_GE15,TOTAL,ALL,24,282.0
081002,2019,F,Y_GE15,TOTAL,ALL,24,274.0
081002,2021,F,Y_GE15,TOTAL,ALL,24,262.213393755076
081002,2022,F,Y_GE15,TOTAL,ALL,24,270.560253398077
081002,2023,F,Y_GE15,TOTAL,ALL,24,254.8404842339408
081002,2024,F,Y_GE15,TOTAL,ALL,24,244.365191453977
081002,2018,F,Y_GE15,TOTAL,ALL,4,359.0
081002,2019,F,Y_GE15,TOTAL,ALL,4,335.0
081002,2021,F,Y_GE15,TOTAL,ALL,4,368.913959120458
081002,2022,F,Y_GE15,TOTAL,ALL,4,359.753426175862
081002,2023,F,Y_GE15,TOTAL,ALL,4,325.0598576860323
081002,2024,F,Y_GE15,TOTAL,ALL,4,337.90970024486825
081002,2018,F,Y_GE15,TOTAL,ALL,5,114.0
081002,2019,F,Y_GE15,TOTAL,ALL,5,120.0
081002,2021,F,Y_GE15,TOTAL,ALL,5,115.685868855652
081002,2022,F,Y_GE15,TOTAL,ALL,5,119.870583142763
081002,2023,F,Y_GE15,TOTAL,ALL,5,115.00432611784898
081002,2024,F,Y_GE15,TOTAL,ALL,5,111.50751882319334
081002,2018,F,Y_GE15,TOTAL,ALL,7,96.0
081002,2019,F,Y_GE15,TOTAL,ALL,7,88.0
081002,2021,F,Y_GE15,TOTAL,ALL,7,91.4412079930275
081002,2022,F,Y_GE15,TOTAL,ALL,7,83.3802667726878
081002,2023,F,Y_GE15,TOTAL,ALL,7,101.93768720191272
081002,2024,F,Y_GE15,TOTAL,ALL,7,99.95195865438174
081002,2018,F,Y_GE15,TOTAL,ALL,99,1290.0
081002,2019,F,Y_GE15,TOTAL,ALL,99,1255.0
081002,2021,F,Y_GE15,TOTAL,ALL,99,1248.0
081002,2022,F,Y_GE15,TOTAL,ALL,99,1239.0
081002,2023,F,Y_GE15,TOTAL,ALL,99,1228.0
081002,2024,F,Y_GE15,TOTAL,ALL,99,1236.0
081002,2018,M,Y_GE15,TOTAL,ALL,1,525.0
081002,2019,M,Y_GE15,TOTAL,ALL,1,530.0
081002,2021,M,Y_GE15,TOTAL,ALL,1,527.0
081002,2022,M,Y_GE15,TOTAL,ALL,1,555.0
081002,2023,M,Y_GE15,TOTAL,ALL,1,561.0
081002,2024,M,Y_GE15,TOTAL,ALL,1,575.0
081002,2018,M,Y_GE15,TOTAL,ALL,12,130.0
081002,2019,M,Y_GE15,TOTAL,ALL,12,126.0
