territorio,anno,genere,eta,eta_anni,stato_civile,cittadinanza,valore
082023,2021,F,Y21,21.0,ALL,TOTAL,50
082023,2022,F,Y21,21.0,ALL,TOTAL,63
082023,2023,F,Y21,21.0,ALL,TOTAL,64
082023,2024,F,Y21,21.0,ALL,TOTAL,70
082023,2022,F,Y22,22.0,ALL,FRGAPO,1
082023,2021,F,Y22,22.0,ALL,ITL,57
082023,2022,F,Y22,22.0,ALL,ITL,49
082023,2023,F,Y22,22.0,ALL,ITL,59
082023,2024,F,Y22,22.0,ALL,ITL,67
082023,2021,F,Y22,22.0,ALL,TOTAL,57
082023,2022,F,Y22,22.0,ALL,TOTAL,50
082023,2023,F,Y22,22.0,ALL,TOTAL,59
082023,2024,F,Y22,22.0,ALL,TOTAL,67
082023,2022,F,Y23,23.0,ALL,FRGAPO,1
082023,2023,F,Y23,23.0,ALL,FRGAPO,1
082023,2021,F,Y23,23.0,ALL,ITL,42
082023,2022,F,Y23,23.0,ALL,ITL,60
082023,2023,F,Y23,23.0,ALL,ITL,51
082023,2024,F,Y23,23.0,ALL,ITL,58
082023,2021,F,Y23,23.0,ALL,TOTAL,42
082023,2022,F,Y23,23.0,ALL,TOTAL,61
082023,2023,F,Y23,23.0,ALL,TOTAL,52
082023,2024,F,Y23,23.0,ALL,TOTAL,58
082023,2021,F,Y24,24.0,ALL,FRGAPO,1
082023,2023,F,Y24,24.0,ALL,FRGAPO,1
082023,2024,F,Y24,24.0,ALL,FRGAPO,1
082023,2021,F,Y24,24.0,ALL,ITL,56
082023,2022,F,Y24,24.0,ALL,ITL,41
082023,2023,F,Y24,24.0,ALL,ITL,64
082023,2024,F,Y24,24.0,ALL,ITL,53
082023,2021,F,Y24,24.0,ALL,TOTAL,57
082023,2022,F,Y24,24.0,ALL,TOTAL,41
082023,2023,F,Y24,24.0,ALL,TOTAL,65
082023,2024,F,Y24,24.0,ALL,TOTAL,54
082023,2021,F,Y25,25.0,ALL,FRGAPO,1
082023,2022,F,Y25,25.0,ALL,FRGAPO,1
082023,2023,F,Y25,25.0,ALL,FRGAPO,1
