destinazione,comune,persone,quota_su_chi_esce,anno,motivo,x_dest,y_dest,x_orig,y_orig
082055,Petralia Soprana,1,0.020755500207555,2011,lavoro,422668.0,4183132.0,368179,4215633
082041,Gratteri,1,0.020755500207555,2011,lavoro,410209.0,4202814.0,368179,4215633
082050,Montelepre,1,0.020755500207555,2011,lavoro,340260.0,4216905.0,368179,4215633
082034,Corleone,1,0.020755500207555,2011,lavoro,349807.0,4184228.0,368179,4215633
082040,Godrano,1,0.020755500207555,2011,lavoro,360675.0,4191570.0,368179,4215633
082052,Palazzo Adriano,1,0.020755500207555,2011,lavoro,358436.0,4169507.0,368179,4215633
084009,Cammarata,1,0.020755500207555,2011,lavoro,390477.0,4165568.0,368179,4215633
083091,Santo Stefano di Camastra,1,0.020755500207555,2011,lavoro,444520.0,4204542.0,368179,4215633
083011,Caronia,1,0.020755500207555,2011,lavoro,454872.0,4203005.0,368179,4215633
084034,Sambuca di Sicilia,1,0.020755500207555,2011,lavoro,336029.0,4169201.0,368179,4215633
084033,Ribera,1,0.020755500207555,2011,lavoro,349462.0,4147590.0,368179,4215633
084029,Racalmuto,1,0.020755500207555,2011,lavoro,389922.0,4139611.0,368179,4215633
084028,Porto Empedocle,1,0.020755500207555,2011,lavoro,367022.0,4130442.0,368179,4215633
084021,Licata,1,0.020755500207555,2011,lavoro,403942.0,4113462.0,368179,4215633
084015,Cianciana,1,0.020755500207555,2011,lavoro,361577.0,4151942.0,368179,4215633
085016,San Cataldo,1,0.020755500207555,2011,lavoro,405265.0,4152201.0,368179,4215633
085014,Resuttano,1,0.020755500207555,2011,lavoro,417155.0,4165826.0,368179,4215633
087007,Belpasso,1,0.020755500207555,2011,lavoro,497419.0,4158853.0,368179,4215633
086020,Villarosa,1,0.020755500207555,2011,lavoro,427986.0,4160468.0,368179,4215633
085019,Sommatino,1,0.020755500207555,2011,lavoro,412445.0,4130737.0,368179,4215633
087009,Bronte,1,0.020755500207555,2011,lavoro,484495.0,4187232.0,368179,4215633
087037,Ramacca,1,0.020755500207555,2011,lavoro,478389.0,4145200.0,368179,4215633
087029,Misterbianco,1,0.020755500207555,2011,lavoro,501136.0,4150836.0,368179,4215633
088009,Ragusa,1,0.020755500207555,2011,lavoro,469938.0,4084516.0,368179,4215633
089017,Siracusa,1,0.020755500207555,2011,lavoro,518976.0,4098297.0,368179,4215633
082053,Palermo,3129,65.07903494176372,2021,lavoro,352054.0,4222542.0,368179,4215633
082067,Santa Flavia,353,7.341930116472546,2021,lavoro,370792.0,4214344.0,368179,4215633
082070,Termini Imerese,192,3.9933444259567388,2021,lavoro,386235.0,4201712.0,368179,4215633
082023,Casteldaccia,168,3.4941763727121464,2021,lavoro,370164.0,4208015.0,368179,4215633
082035,Ficarazzi,155,3.2237936772046587,2021,lavoro,365357.0,4217092.0,368179,4215633
082079,Villabate,140,2.9118136439267888,2021,lavoro,363440.0,4215562.0,368179,4215633
082004,Altavilla Milicia,125,2.5998336106489184,2021,lavoro,375206.0,4208816.0,368179,4215633
082048,Misilmeri,79,1.6430948419301166,2021,lavoro,363292.0,4209163.0,368179,4215633
082021,Carini,77,1.6014975041597337,2021,lavoro,340503.0,4222036.0,368179,4215633
082027,Cefalù,41,0.8527454242928453,2021,lavoro,415808.0,4205409.0,368179,4215633
082011,Bolognetta,30,0.6239600665557404,2021,lavoro,365755.0,4205022.0,368179,4215633
082017,Campofelice di Roccella,29,0.6031613976705491,2021,lavoro,402071.0,4205269.0,368179,4215633
082073,Trabia,26,0.540765391014975,2021,lavoro,377433.0,4205557.0,368179,4215633
082049,Monreale,23,0.478369384359401,2021,lavoro,331897.0,4201125.0,368179,4215633
081021,Trapani,18,0.37437603993344426,2021,lavoro,298671.0,4197267.0,368179,4215633
082031,Cinisi,13,0.2703826955074875,2021,lavoro,334790.0,4224378.0,368179,4215633
082009,Belmonte Mezzagno,11,0.22878535773710482,2021,lavoro,358526.0,4210952.0,368179,4215633
082014,Caccamo,11,0.22878535773710482,2021,lavoro,384050.0,4193488.0,368179,4215633
082054,Partinico,10,0.2079866888519135,2021,lavoro,329046.0,4209214.0,368179,4215633
081001,Alcamo,10,0.2079866888519135,2021,lavoro,321820.0,4204259.0,368179,4215633
082043,Isola delle Femmine,9,0.18718801996672213,2021,lavoro,346685.0,4228334.0,368179,4215633
086009,Enna,9,0.18718801996672213,2021,lavoro,433965.0,4152992.0,368179,4215633
087015,Catania,9,0.18718801996672213,2021,lavoro,504456.0,4146098.0,368179,4215633
082028,Cerda,8,0.16638935108153077,2021,lavoro,396552.0,4195041.0,368179,4215633
082020,Capaci,6,0.12479201331114809,2021,lavoro,345518.0,4225907.0,368179,4215633
082005,Altofonte,6,0.12479201331114809,2021,lavoro,352202.0,4210325.0,368179,4215633
082055,Petralia Soprana,6,0.12479201331114809,2021,lavoro,422668.0,4183132.0,368179,4215633
082057,Piana degli Albanesi,6,0.12479201331114809,2021,lavoro,350682.0,4203469.0,368179,4215633
082044,Lascari,5,0.10399334442595674,2021,lavoro,406461.0,4206279.0,368179,4215633
082008,Baucina,5,0.10399334442595674,2021,lavoro,370863.0,4199564.0,368179,4215633
082030,Ciminna,5,0.10399334442595674,2021,lavoro,372959.0,4193037.0,368179,4215633
082032,Collesano,4,0.08319467554076539,2021,lavoro,404396.0,4198661.0,368179,4215633
082046,Marineo,4,0.08319467554076539,2021,lavoro,361670.0,4201045.0,368179,4215633
082022,Castelbuono,4,0.08319467554076539,2021,lavoro,420852.0,4198609.0,368179,4215633
082026,Cefalà Diana,4,0.08319467554076539,2021,lavoro,364856.0,4197477.0,368179,4215633
082080,Villafrati,4,0.08319467554076539,2021,lavoro,367059.0,4199114.0,368179,4215633
080063,080063,3,0.06239600665557404,2021,lavoro,,,368179,4215633
083048,Messina,3,0.06239600665557404,2021,lavoro,544916.0,4225260.0,368179,4215633
082078,Vicari,3,0.06239600665557404,2021,lavoro,374526.0,4183624.0,368179,4215633
082013,Borgetto,3,0.06239600665557404,2021,lavoro,338339.0,4212080.0,368179,4215633
081024,Petrosino,3,0.06239600665557404,2021,lavoro,280699.0,4175810.0,368179,4215633
081005,Castellammare del Golfo,3,0.06239600665557404,2021,lavoro,309378.0,4210186.0,368179,4215633
081011,Marsala,3,0.06239600665557404,2021,lavoro,286601.0,4189405.0,368179,4215633
084040,Santo Stefano Quisquina,3,0.06239600665557404,2021,lavoro,368926.0,4162174.0,368179,4215633
087007,Belpasso,3,0.06239600665557404,2021,lavoro,497419.0,4158853.0,368179,4215633
082063,San Cipirello,3,0.06239600665557404,2021,lavoro,339962.0,4200436.0,368179,4215633
082045,Lercara Friddi,3,0.06239600665557404,2021,lavoro,378564.0,4178325.0,368179,4215633
082077,Ventimiglia di Sicilia,3,0.06239600665557404,2021,lavoro,370004.0,4205282.0,368179,4215633
081006,Castelvetrano,2,0.04159733777038269,2021,lavoro,308296.0,4170830.0,368179,4215633
081003,Calatafimi-Segesta,2,0.04159733777038269,2021,lavoro,312674.0,4197132.0,368179,4215633
087032,Palagonia,2,0.04159733777038269,2021,lavoro,478012.0,4132949.0,368179,4215633
084033,Ribera,2,0.04159733777038269,2021,lavoro,349462.0,4147590.0,368179,4215633
084023,Menfi,2,0.04159733777038269,2021,lavoro,321378.0,4164327.0,368179,4215633
083097,Taormina,2,0.04159733777038269,2021,lavoro,524158.0,4188880.0,368179,4215633
087029,Misterbianco,2,0.04159733777038269,2021,lavoro,501136.0,4150836.0,368179,4215633
089017,Siracusa,2,0.04159733777038269,2021,lavoro,518976.0,4098297.0,368179,4215633
087011,Caltagirone,2,0.04159733777038269,2021,lavoro,460029.0,4115152.0,368179,4215633
082066,Santa Cristina Gela,2,0.04159733777038269,2021,lavoro,353588.0,4204415.0,368179,4215633
084009,Cammarata,2,0.04159733777038269,2021,lavoro,390477.0,4165568.0,368179,4215633
081019,Santa Ninfa,1,0.020798668885191347,2021,lavoro,311883.0,4183215.0,368179,4215633
081008,Erice,1,0.020798668885191347,2021,lavoro,288712.0,4209726.0,368179,4215633
015146,015146,1,0.020798668885191347,2021,lavoro,,,368179,4215633
058091,058091,1,0.020798668885191347,2021,lavoro,,,368179,4215633
082034,Corleone,1,0.020798668885191347,2021,lavoro,349807.0,4184228.0,368179,4215633
082024,Castellana Sicula,1,0.020798668885191347,2021,lavoro,414924.0,4177020.0,368179,4215633
082015,Caltavuturo,1,0.020798668885191347,2021,lavoro,405543.0,4182253.0,368179,4215633
082059,Pollina,1,0.020798668885191347,2021,lavoro,422973.0,4205379.0,368179,4215633
083091,Santo Stefano di Camastra,1,0.020798668885191347,2021,lavoro,444520.0,4204542.0,368179,4215633
082072,Torretta,1,0.020798668885191347,2021,lavoro,344640.0,4223996.0,368179,4215633
082060,Prizzi,1,0.020798668885191347,2021,lavoro,363435.0,4177408.0,368179,4215633
082064,San Giuseppe Jato,1,0.020798668885191347,2021,lavoro,337917.0,4203779.0,368179,4215633
084015,Cianciana,1,0.020798668885191347,2021,lavoro,361577.0,4151942.0,368179,4215633
087009,Bronte,1,0.020798668885191347,2021,lavoro,484495.0,4187232.0,368179,4215633
088006,Modica,1,0.020798668885191347,2021,lavoro,481139.0,4076691.0,368179,4215633
089013,Noto,1,0.020798668885191347,2021,lavoro,500792.0,4083033.0,368179,4215633
