territorio,anno,tavola,genere,eta,eta_anni,cittadinanza,titolo_studio,condizione,valore
081008,2022,lavoro,F,Y15-24,,TOTAL,ALL,7,63.5842675492386
081008,2023,lavoro,F,Y15-24,,TOTAL,ALL,7,58.79686654596242
081008,2024,lavoro,F,Y15-24,,TOTAL,ALL,7,64.83556639473419
081008,2018,lavoro,F,Y15-24,,TOTAL,ALL,99,1414.0
081008,2019,lavoro,F,Y15-24,,TOTAL,ALL,99,1403.0
081008,2021,lavoro,F,Y15-24,,TOTAL,ALL,99,1372.0
081008,2022,lavoro,F,Y15-24,,TOTAL,ALL,99,1355.0
081008,2023,lavoro,F,Y15-24,,TOTAL,ALL,99,1331.0
081008,2024,lavoro,F,Y15-24,,TOTAL,ALL,99,1305.0
081008,2018,lavoro,F,Y25-49,,TOTAL,ALL,1,1843.0
081008,2019,lavoro,F,Y25-49,,TOTAL,ALL,1,1842.0
081008,2021,lavoro,F,Y25-49,,TOTAL,ALL,1,1923.0
081008,2022,lavoro,F,Y25-49,,TOTAL,ALL,1,1922.0
081008,2023,lavoro,F,Y25-49,,TOTAL,ALL,1,1969.0
081008,2024,lavoro,F,Y25-49,,TOTAL,ALL,1,1987.0
081008,2018,lavoro,F,Y25-49,,TOTAL,ALL,12,648.0
081008,2019,lavoro,F,Y25-49,,TOTAL,ALL,12,630.0
081008,2021,lavoro,F,Y25-49,,TOTAL,ALL,12,392.701614451309
081008,2022,lavoro,F,Y25-49,,TOTAL,ALL,12,351.701679147336
081008,2023,lavoro,F,Y25-49,,TOTAL,ALL,12,386.8857804404644
081008,2024,lavoro,F,Y25-49,,TOTAL,ALL,12,306.86454850873
081008,2018,lavoro,F,Y25-49,,TOTAL,ALL,22,2491.0
081008,2019,lavoro,F,Y25-49,,TOTAL,ALL,22,2472.0
081008,2021,lavoro,F,Y25-49,,TOTAL,ALL,22,2315.70161445131
081008,2022,lavoro,F,Y25-49,,TOTAL,ALL,22,2273.70167914734
081008,2023,lavoro,F,Y25-49,,TOTAL,ALL,22,2355.8857804404643
081008,2024,lavoro,F,Y25-49,,TOTAL,ALL,22,2293.86454850873
081008,2018,lavoro,F,Y25-49,,TOTAL,ALL,23,1866.0
081008,2019,lavoro,F,Y25-49,,TOTAL,ALL,23,1781.0
081008,2021,lavoro,F,Y25-49,,TOTAL,ALL,23,1785.29838554869
081008,2022,lavoro,F,Y25-49,,TOTAL,ALL,23,1674.29832085266
081008,2023,lavoro,F,Y25-49,,TOTAL,ALL,23,1520.1142195595353
081008,2024,lavoro,F,Y25-49,,TOTAL,ALL,23,1456.1354514912696
081008,2018,lavoro,F,Y25-49,,TOTAL,ALL,24,29.0
081008,2019,lavoro,F,Y25-49,,TOTAL,ALL,24,36.0
081008,2021,lavoro,F,Y25-49,,TOTAL,ALL,24,28.0744006347019
081008,2022,lavoro,F,Y25-49,,TOTAL,ALL,24,29.6657292417063
081008,2023,lavoro,F,Y25-49,,TOTAL,ALL,24,23.384981537636666
081008,2024,lavoro,F,Y25-49,,TOTAL,ALL,24,21.841263508684428
081008,2018,lavoro,F,Y25-49,,TOTAL,ALL,4,1384.0
081008,2019,lavoro,F,Y25-49,,TOTAL,ALL,4,1287.0
081008,2021,lavoro,F,Y25-49,,TOTAL,ALL,4,1296.44238640499
081008,2022,lavoro,F,Y25-49,,TOTAL,ALL,4,1229.91752671891
081008,2023,lavoro,F,Y25-49,,TOTAL,ALL,4,1093.6688725731442
081008,2024,lavoro,F,Y25-49,,TOTAL,ALL,4,1056.69004106218
081008,2018,lavoro,F,Y25-49,,TOTAL,ALL,5,166.0
081008,2019,lavoro,F,Y25-49,,TOTAL,ALL,5,208.0
081008,2021,lavoro,F,Y25-49,,TOTAL,ALL,5,197.208121630436
081008,2022,lavoro,F,Y25-49,,TOTAL,ALL,5,176.472103545279
081008,2023,lavoro,F,Y25-49,,TOTAL,ALL,5,160.57635730813325
081008,2024,lavoro,F,Y25-49,,TOTAL,ALL,5,141.55900302756885
081008,2018,lavoro,F,Y25-49,,TOTAL,ALL,7,287.0
081008,2019,lavoro,F,Y25-49,,TOTAL,ALL,7,250.0
081008,2021,lavoro,F,Y25-49,,TOTAL,ALL,7,263.573476878563
081008,2022,lavoro,F,Y25-49,,TOTAL,ALL,7,238.242961346769
081008,2023,lavoro,F,Y25-49,,TOTAL,ALL,7,242.48400814062123
081008,2024,lavoro,F,Y25-49,,TOTAL,ALL,7,236.04514389283645
081008,2018,lavoro,F,Y25-49,,TOTAL,ALL,99,4357.0
081008,2019,lavoro,F,Y25-49,,TOTAL,ALL,99,4253.0
081008,2020,lavoro,F,Y25-49,,TOTAL,ALL,99,4192.0
081008,2021,lavoro,F,Y25-49,,TOTAL,ALL,99,4101.0
081008,2022,lavoro,F,Y25-49,,TOTAL,ALL,99,3948.0
081008,2023,lavoro,F,Y25-49,,TOTAL,ALL,99,3876.0
081008,2024,lavoro,F,Y25-49,,TOTAL,ALL,99,3750.0
081008,2018,lavoro,F,Y50-64,,TOTAL,ALL,1,1177.0
081008,2019,lavoro,F,Y50-64,,TOTAL,ALL,1,1206.0
081008,2021,lavoro,F,Y50-64,,TOTAL,ALL,1,1220.0
081008,2022,lavoro,F,Y50-64,,TOTAL,ALL,1,1253.0
081008,2023,lavoro,F,Y50-64,,TOTAL,ALL,1,1341.0
081008,2024,lavoro,F,Y50-64,,TOTAL,ALL,1,1389.0
081008,2018,lavoro,F,Y50-64,,TOTAL,ALL,12,210.0
081008,2019,lavoro,F,Y50-64,,TOTAL,ALL,12,212.0
081008,2021,lavoro,F,Y50-64,,TOTAL,ALL,12,149.815529715804
081008,2022,lavoro,F,Y50-64,,TOTAL,ALL,12,137.395126614681
081008,2023,lavoro,F,Y50-64,,TOTAL,ALL,12,181.8798055535307
081008,2024,lavoro,F,Y50-64,,TOTAL,ALL,12,148.28122574731427
081008,2018,lavoro,F,Y50-64,,TOTAL,ALL,22,1387.0
081008,2019,lavoro,F,Y50-64,,TOTAL,ALL,22,1418.0
081008,2021,lavoro,F,Y50-64,,TOTAL,ALL,22,1369.8155297158
081008,2022,lavoro,F,Y50-64,,TOTAL,ALL,22,1390.39512661468
081008,2023,lavoro,F,Y50-64,,TOTAL,ALL,22,1522.8798055535308
081008,2024,lavoro,F,Y50-64,,TOTAL,ALL,22,1537.2812257473142
081008,2018,lavoro,F,Y50-64,,TOTAL,ALL,23,1609.0
081008,2019,lavoro,F,Y50-64,,TOTAL,ALL,23,1598.0
081008,2021,lavoro,F,Y50-64,,TOTAL,ALL,23,1683.1844702842
081008,2022,lavoro,F,Y50-64,,TOTAL,ALL,23,1663.60487338532
081008,2023,lavoro,F,Y50-64,,TOTAL,ALL,23,1568.120194446469
081008,2024,lavoro,F,Y50-64,,TOTAL,ALL,23,1594.7187742526858
