territorio,nome_territorio,genere,transizione,eta_iniziale,n_iniziale,rapporto_pct
082053,Palermo,F,2021-2022,25,3305,98.8
082053,Palermo,F,2021-2022,26,3268,98.8
082053,Palermo,F,2021-2022,27,3328,99.7
082053,Palermo,F,2021-2022,28,3434,98.5
082053,Palermo,F,2021-2022,29,3700,99.6
082053,Palermo,F,2021-2022,30,3550,99.4
082053,Palermo,M,2021-2022,15,3562,99.7
082053,Palermo,M,2021-2022,16,3478,100.2
082053,Palermo,M,2021-2022,17,3525,100.2
082053,Palermo,M,2021-2022,18,3391,101.0
082053,Palermo,M,2021-2022,19,3343,100.2
082053,Palermo,M,2021-2022,20,3420,99.8
082053,Palermo,M,2021-2022,21,3452,99.0
082053,Palermo,M,2021-2022,22,3483,98.9
082053,Palermo,M,2021-2022,23,3368,98.9
082053,Palermo,M,2021-2022,24,3378,98.7
082053,Palermo,M,2021-2022,25,3380,98.3
082053,Palermo,M,2021-2022,26,3415,97.4
082053,Palermo,M,2021-2022,27,3318,98.0
082053,Palermo,M,2021-2022,28,3561,98.8
082053,Palermo,M,2021-2022,29,3718,97.4
082053,Palermo,M,2021-2022,30,3622,99.5
ITG1,Sicilia,F,2021-2022,15,23798,100.1
ITG1,Sicilia,F,2021-2022,16,24530,100.1
ITG1,Sicilia,F,2021-2022,17,24983,100.2
ITG1,Sicilia,F,2021-2022,18,24340,100.7
ITG1,Sicilia,F,2021-2022,19,24433,100.5
ITG1,Sicilia,F,2021-2022,20,24617,100.4
ITG1,Sicilia,F,2021-2022,21,24585,100.9
ITG1,Sicilia,F,2021-2022,22,25075,100.1
ITG1,Sicilia,F,2021-2022,23,24751,100.1
ITG1,Sicilia,F,2021-2022,24,24755,99.5
ITG1,Sicilia,F,2021-2022,25,25190,99.1
ITG1,Sicilia,F,2021-2022,26,25306,98.9
ITG1,Sicilia,F,2021-2022,27,25730,99.0
ITG1,Sicilia,F,2021-2022,28,26672,99.1
ITG1,Sicilia,F,2021-2022,29,27735,99.3
ITG1,Sicilia,F,2021-2022,30,27424,99.1
ITG1,Sicilia,M,2021-2022,15,25854,100.4
ITG1,Sicilia,M,2021-2022,16,26149,101.1
ITG1,Sicilia,M,2021-2022,17,26796,102.5
ITG1,Sicilia,M,2021-2022,18,26299,101.2
ITG1,Sicilia,M,2021-2022,19,26116,100.3
ITG1,Sicilia,M,2021-2022,20,26938,99.7
ITG1,Sicilia,M,2021-2022,21,27676,99.6
ITG1,Sicilia,M,2021-2022,22,27454,99.5
ITG1,Sicilia,M,2021-2022,23,26853,99.5
ITG1,Sicilia,M,2021-2022,24,26780,99.3
ITG1,Sicilia,M,2021-2022,25,26646,98.8
ITG1,Sicilia,M,2021-2022,26,26520,98.8
ITG1,Sicilia,M,2021-2022,27,26996,99.1
ITG1,Sicilia,M,2021-2022,28,27353,99.2
ITG1,Sicilia,M,2021-2022,29,28538,99.0
ITG1,Sicilia,M,2021-2022,30,28177,99.3
IT,Italia,F,2021-2022,15,278674,100.3
IT,Italia,F,2021-2022,16,276845,100.3
IT,Italia,F,2021-2022,17,280939,100.4
IT,Italia,F,2021-2022,18,274550,100.9
IT,Italia,F,2021-2022,19,273072,100.9
IT,Italia,F,2021-2022,20,276153,101.0
IT,Italia,F,2021-2022,21,280508,101.2
IT,Italia,F,2021-2022,22,276923,101.3
IT,Italia,F,2021-2022,23,277904,101.3
IT,Italia,F,2021-2022,24,279469,101.2
IT,Italia,F,2021-2022,25,281322,101.3
IT,Italia,F,2021-2022,26,281629,101.3
IT,Italia,F,2021-2022,27,286744,101.3
IT,Italia,F,2021-2022,28,293909,101.3
IT,Italia,F,2021-2022,29,307123,101.3
IT,Italia,F,2021-2022,30,307805,101.2
IT,Italia,M,2021-2022,15,297220,100.5
IT,Italia,M,2021-2022,16,295963,100.9
IT,Italia,M,2021-2022,17,299478,101.6
IT,Italia,M,2021-2022,18,295158,101.7
IT,Italia,M,2021-2022,19,294218,101.3
IT,Italia,M,2021-2022,20,299483,101.2
IT,Italia,M,2021-2022,21,307995,101.3
IT,Italia,M,2021-2022,22,306585,101.2
IT,Italia,M,2021-2022,23,310871,101.2
IT,Italia,M,2021-2022,24,307450,101.2
IT,Italia,M,2021-2022,25,307226,101.2
IT,Italia,M,2021-2022,26,304818,101.3
IT,Italia,M,2021-2022,27,306056,101.3
IT,Italia,M,2021-2022,28,309781,101.3
IT,Italia,M,2021-2022,29,322737,101.3
IT,Italia,M,2021-2022,30,320462,101.2
082006,Bagheria,F,2022-2023,15,262,99.6
082006,Bagheria,F,2022-2023,16,261,98.5
082006,Bagheria,F,2022-2023,17,294,100.7
082006,Bagheria,F,2022-2023,18,309,100.6
082006,Bagheria,F,2022-2023,19,310,101.3
082006,Bagheria,F,2022-2023,20,285,100.0
082006,Bagheria,F,2022-2023,21,277,99.3
082006,Bagheria,F,2022-2023,22,293,101.0
082006,Bagheria,F,2022-2023,23,290,99.0
082006,Bagheria,F,2022-2023,24,266,104.5
082006,Bagheria,F,2022-2023,25,287,99.0
082006,Bagheria,F,2022-2023,26,308,99.7
082006,Bagheria,F,2022-2023,27,258,98.4
082006,Bagheria,F,2022-2023,28,316,99.4
082006,Bagheria,F,2022-2023,29,303,97.4
082006,Bagheria,F,2022-2023,30,336,97.3
082006,Bagheria,M,2022-2023,15,316,98.1
082006,Bagheria,M,2022-2023,16,290,98.6
082006,Bagheria,M,2022-2023,17,300,99.7
082006,Bagheria,M,2022-2023,18,329,99.4
082006,Bagheria,M,2022-2023,19,297,101.0
082006,Bagheria,M,2022-2023,20,292,97.6
082006,Bagheria,M,2022-2023,21,315,98.1
082006,Bagheria,M,2022-2023,22,306,101.3
082006,Bagheria,M,2022-2023,23,287,100.3
082006,Bagheria,M,2022-2023,24,303,100.0
082006,Bagheria,M,2022-2023,25,307,97.4
082006,Bagheria,M,2022-2023,26,287,95.8
082006,Bagheria,M,2022-2023,27,289,100.3
082006,Bagheria,M,2022-2023,28,298,103.4
082006,Bagheria,M,2022-2023,29,301,100.7
082006,Bagheria,M,2022-2023,30,299,99.7
082053,Palermo,F,2022-2023,15,3325,99.8
082053,Palermo,F,2022-2023,16,3317,100.4
082053,Palermo,F,2022-2023,17,3408,100.3
082053,Palermo,F,2022-2023,18,3351,99.7
082053,Palermo,F,2022-2023,19,3104,100.9
082053,Palermo,F,2022-2023,20,3220,100.6
082053,Palermo,F,2022-2023,21,3203,99.8
082053,Palermo,F,2022-2023,22,3196,99.0
082053,Palermo,F,2022-2023,23,3166,100.1
082053,Palermo,F,2022-2023,24,3185,99.3
082053,Palermo,F,2022-2023,25,3144,100.0
082053,Palermo,F,2022-2023,26,3265,99.3
082053,Palermo,F,2022-2023,27,3229,99.6
082053,Palermo,F,2022-2023,28,3318,100.0
082053,Palermo,F,2022-2023,29,3382,100.1
082053,Palermo,F,2022-2023,30,3686,99.8
082053,Palermo,M,2022-2023,15,3307,100.7
082053,Palermo,M,2022-2023,16,3552,101.0
082053,Palermo,M,2022-2023,17,3484,101.4
082053,Palermo,M,2022-2023,18,3531,100.8
082053,Palermo,M,2022-2023,19,3425,100.2
082053,Palermo,M,2022-2023,20,3350,100.1
082053,Palermo,M,2022-2023,21,3414,98.4
082053,Palermo,M,2022-2023,22,3419,98.8
082053,Palermo,M,2022-2023,23,3444,100.0
082053,Palermo,M,2022-2023,24,3331,98.4
082053,Palermo,M,2022-2023,25,3333,98.7
082053,Palermo,M,2022-2023,26,3321,98.8
082053,Palermo,M,2022-2023,27,3327,98.7
082053,Palermo,M,2022-2023,28,3251,99.4
082053,Palermo,M,2022-2023,29,3517,98.9
082053,Palermo,M,2022-2023,30,3622,100.0
ITG1,Sicilia,F,2022-2023,15,23783,100.1
ITG1,Sicilia,F,2022-2023,16,23828,100.1
ITG1,Sicilia,F,2022-2023,17,24561,100.2
ITG1,Sicilia,F,2022-2023,18,25045,100.0
ITG1,Sicilia,F,2022-2023,19,24505,100.3
ITG1,Sicilia,F,2022-2023,20,24558,100.1
ITG1,Sicilia,F,2022-2023,21,24704,99.8
ITG1,Sicilia,F,2022-2023,22,24800,99.4
ITG1,Sicilia,F,2022-2023,23,25095,99.8
ITG1,Sicilia,F,2022-2023,24,24768,99.1
ITG1,Sicilia,F,2022-2023,25,24625,98.9
ITG1,Sicilia,F,2022-2023,26,24965,99.0
ITG1,Sicilia,F,2022-2023,27,25016,99.1
ITG1,Sicilia,F,2022-2023,28,25465,98.9
ITG1,Sicilia,F,2022-2023,29,26440,99.1
ITG1,Sicilia,F,2022-2023,30,27528,99.0
ITG1,Sicilia,M,2022-2023,15,24933,101.3
ITG1,Sicilia,M,2022-2023,16,25955,102.1
ITG1,Sicilia,M,2022-2023,17,26427,102.5
ITG1,Sicilia,M,2022-2023,18,27465,101.0
ITG1,Sicilia,M,2022-2023,19,26624,99.8
ITG1,Sicilia,M,2022-2023,20,26206,100.0
ITG1,Sicilia,M,2022-2023,21,26846,99.1
ITG1,Sicilia,M,2022-2023,22,27566,99.0
ITG1,Sicilia,M,2022-2023,23,27318,99.0
ITG1,Sicilia,M,2022-2023,24,26732,99.2
ITG1,Sicilia,M,2022-2023,25,26591,98.9
ITG1,Sicilia,M,2022-2023,26,26331,98.9
ITG1,Sicilia,M,2022-2023,27,26206,98.9
ITG1,Sicilia,M,2022-2023,28,26743,98.8
ITG1,Sicilia,M,2022-2023,29,27128,99.3
ITG1,Sicilia,M,2022-2023,30,28241,99.4
IT,Italia,F,2022-2023,15,279486,100.4
IT,Italia,F,2022-2023,16,279547,100.4
IT,Italia,F,2022-2023,17,277701,100.5
IT,Italia,F,2022-2023,18,282146,100.5
IT,Italia,F,2022-2023,19,277103,100.7
IT,Italia,F,2022-2023,20,275666,100.7
IT,Italia,F,2022-2023,21,278844,100.5
IT,Italia,F,2022-2023,22,283874,100.7
IT,Italia,F,2022-2023,23,280399,100.9
IT,Italia,F,2022-2023,24,281478,100.8
IT,Italia,F,2022-2023,25,282940,100.7
IT,Italia,F,2022-2023,26,284846,100.8
IT,Italia,F,2022-2023,27,285302,100.8
IT,Italia,F,2022-2023,28,290555,100.9
IT,Italia,F,2022-2023,29,297739,100.8
IT,Italia,F,2022-2023,30,311199,100.8
IT,Italia,M,2022-2023,15,297394,100.8
IT,Italia,M,2022-2023,16,298845,101.2
IT,Italia,M,2022-2023,17,298641,101.9
IT,Italia,M,2022-2023,18,304193,101.9
IT,Italia,M,2022-2023,19,300052,101.6
IT,Italia,M,2022-2023,20,298116,101.5
IT,Italia,M,2022-2023,21,303004,101.2
IT,Italia,M,2022-2023,22,311847,101.3
IT,Italia,M,2022-2023,23,310412,101.4
IT,Italia,M,2022-2023,24,314704,101.4
IT,Italia,M,2022-2023,25,311008,101.2
IT,Italia,M,2022-2023,26,310911,101.3
IT,Italia,M,2022-2023,27,308660,101.3
IT,Italia,M,2022-2023,28,309963,101.3
IT,Italia,M,2022-2023,29,313746,101.3
IT,Italia,M,2022-2023,30,326788,101.2
082006,Bagheria,F,2023-2024,15,299,100.7
082006,Bagheria,F,2023-2024,16,261,100.0
082006,Bagheria,F,2023-2024,17,257,100.8
082006,Bagheria,F,2023-2024,18,296,100.0
082006,Bagheria,F,2023-2024,19,311,100.0
082006,Bagheria,F,2023-2024,20,314,101.6
082006,Bagheria,F,2023-2024,21,285,101.8
082006,Bagheria,F,2023-2024,22,275,100.4
082006,Bagheria,F,2023-2024,23,296,102.0
082006,Bagheria,F,2023-2024,24,287,96.5
082006,Bagheria,F,2023-2024,25,278,96.8
082006,Bagheria,F,2023-2024,26,284,100.7
082006,Bagheria,F,2023-2024,27,307,97.1
082006,Bagheria,F,2023-2024,28,254,101.2
082006,Bagheria,F,2023-2024,29,314,99.4
082006,Bagheria,F,2023-2024,30,295,98.3
082006,Bagheria,M,2023-2024,15,284,101.1
082006,Bagheria,M,2023-2024,16,310,101.6
082006,Bagheria,M,2023-2024,17,286,100.3
082006,Bagheria,M,2023-2024,18,299,99.0
082006,Bagheria,M,2023-2024,19,327,100.3
082006,Bagheria,M,2023-2024,20,300,99.0
082006,Bagheria,M,2023-2024,21,285,99.3
082006,Bagheria,M,2023-2024,22,309,100.6
082006,Bagheria,M,2023-2024,23,310,101.3
082006,Bagheria,M,2023-2024,24,288,99.3
082006,Bagheria,M,2023-2024,25,303,99.0
082006,Bagheria,M,2023-2024,26,299,103.3
082006,Bagheria,M,2023-2024,27,275,100.7
082006,Bagheria,M,2023-2024,28,290,98.6
082006,Bagheria,M,2023-2024,29,308,100.3
082006,Bagheria,M,2023-2024,30,303,102.0
082053,Palermo,F,2023-2024,15,3238,100.0
082053,Palermo,F,2023-2024,16,3320,100.9
082053,Palermo,F,2023-2024,17,3331,100.0
082053,Palermo,F,2023-2024,18,3417,100.1
082053,Palermo,F,2023-2024,19,3341,99.8
082053,Palermo,F,2023-2024,20,3133,101.5
082053,Palermo,F,2023-2024,21,3239,99.6
082053,Palermo,F,2023-2024,22,3198,99.9
082053,Palermo,F,2023-2024,23,3164,99.5
082053,Palermo,F,2023-2024,24,3170,100.3
082053,Palermo,F,2023-2024,25,3163,99.9
082053,Palermo,F,2023-2024,26,3144,100.1
082053,Palermo,F,2023-2024,27,3241,99.5
082053,Palermo,F,2023-2024,28,3217,100.7
082053,Palermo,F,2023-2024,29,3319,99.4
082053,Palermo,F,2023-2024,30,3387,100.2
082053,Palermo,M,2023-2024,15,3406,100.7
082053,Palermo,M,2023-2024,16,3330,100.5
082053,Palermo,M,2023-2024,17,3588,100.6
082053,Palermo,M,2023-2024,18,3534,100.2
082053,Palermo,M,2023-2024,19,3561,99.5
082053,Palermo,M,2023-2024,20,3433,100.4
082053,Palermo,M,2023-2024,21,3355,99.6
082053,Palermo,M,2023-2024,22,3360,99.4
082053,Palermo,M,2023-2024,23,3377,100.2
082053,Palermo,M,2023-2024,24,3445,100.6
082053,Palermo,M,2023-2024,25,3278,98.8
082053,Palermo,M,2023-2024,26,3290,99.7
082053,Palermo,M,2023-2024,27,3282,99.4
082053,Palermo,M,2023-2024,28,3285,99.3
082053,Palermo,M,2023-2024,29,3230,100.1
082053,Palermo,M,2023-2024,30,3480,99.3
ITG1,Sicilia,F,2023-2024,15,23882,100.2
ITG1,Sicilia,F,2023-2024,16,23801,100.2
ITG1,Sicilia,F,2023-2024,17,23856,100.2
ITG1,Sicilia,F,2023-2024,18,24610,100.1
ITG1,Sicilia,F,2023-2024,19,25042,100.0
ITG1,Sicilia,F,2023-2024,20,24574,100.5
ITG1,Sicilia,F,2023-2024,21,24579,100.1
ITG1,Sicilia,F,2023-2024,22,24652,99.7
ITG1,Sicilia,F,2023-2024,23,24648,99.9
ITG1,Sicilia,F,2023-2024,24,25033,99.7
ITG1,Sicilia,F,2023-2024,25,24539,99.2
ITG1,Sicilia,F,2023-2024,26,24361,99.6
ITG1,Sicilia,F,2023-2024,27,24719,99.0
ITG1,Sicilia,F,2023-2024,28,24784,99.3
ITG1,Sicilia,F,2023-2024,29,25192,99.4
ITG1,Sicilia,F,2023-2024,30,26200,99.5
ITG1,Sicilia,M,2023-2024,15,25286,101.4
ITG1,Sicilia,M,2023-2024,16,25259,103.1
ITG1,Sicilia,M,2023-2024,17,26502,102.8
ITG1,Sicilia,M,2023-2024,18,27084,100.8
ITG1,Sicilia,M,2023-2024,19,27752,99.8
ITG1,Sicilia,M,2023-2024,20,26568,100.6
ITG1,Sicilia,M,2023-2024,21,26203,100.1
ITG1,Sicilia,M,2023-2024,22,26616,99.9
ITG1,Sicilia,M,2023-2024,23,27281,100.1
ITG1,Sicilia,M,2023-2024,24,27058,99.6
ITG1,Sicilia,M,2023-2024,25,26528,99.5
ITG1,Sicilia,M,2023-2024,26,26300,99.5
ITG1,Sicilia,M,2023-2024,27,26032,99.5
ITG1,Sicilia,M,2023-2024,28,25918,99.6
ITG1,Sicilia,M,2023-2024,29,26425,99.6
ITG1,Sicilia,M,2023-2024,30,26949,99.4
IT,Italia,F,2023-2024,15,282062,100.3
IT,Italia,F,2023-2024,16,280540,100.4
IT,Italia,F,2023-2024,17,280729,100.5
IT,Italia,F,2023-2024,18,279127,100.6
IT,Italia,F,2023-2024,19,283627,100.6
IT,Italia,F,2023-2024,20,278991,100.9
IT,Italia,F,2023-2024,21,277626,100.7
IT,Italia,F,2023-2024,22,280348,100.7
IT,Italia,F,2023-2024,23,285778,100.8
IT,Italia,F,2023-2024,24,282812,100.8
IT,Italia,F,2023-2024,25,283771,100.7
IT,Italia,F,2023-2024,26,285002,100.8
IT,Italia,F,2023-2024,27,287166,100.8
IT,Italia,F,2023-2024,28,287713,100.8
IT,Italia,F,2023-2024,29,293105,100.8
IT,Italia,F,2023-2024,30,300228,100.8
IT,Italia,M,2023-2024,15,298883,100.8
IT,Italia,M,2023-2024,16,299700,101.5
IT,Italia,M,2023-2024,17,302297,102.1
IT,Italia,M,2023-2024,18,304333,102.0
IT,Italia,M,2023-2024,19,309963,101.9
IT,Italia,M,2023-2024,20,304996,102.0
IT,Italia,M,2023-2024,21,302673,101.7
IT,Italia,M,2023-2024,22,306574,101.5
IT,Italia,M,2023-2024,23,315925,101.8
IT,Italia,M,2023-2024,24,314636,101.5
IT,Italia,M,2023-2024,25,319013,101.5
IT,Italia,M,2023-2024,26,314881,101.5
IT,Italia,M,2023-2024,27,314955,101.4
IT,Italia,M,2023-2024,28,312534,101.3
IT,Italia,M,2023-2024,29,314071,101.2
IT,Italia,M,2023-2024,30,317807,101.2
