territorio,anno,eta,genere,popolazione,almeno_diploma_%,solo_diploma_%,terziario_%,nome_territorio,ruolo
082006,2024,Y_GE65,T,11432.000000000002,25.691,17.2936,8.3975,Bagheria,confronto
082053,2018,Y25-49,F,108290.0,62.8341,37.3322,25.5019,Palermo,confronto
082053,2018,Y25-49,M,105373.0,58.8206,40.0131,18.8075,Palermo,confronto
082053,2018,Y25-49,T,213663.0,60.8547,38.6543,22.2004,Palermo,confronto
082053,2018,Y50-64,F,74360.0,47.153,29.9408,17.2122,Palermo,confronto
082053,2018,Y50-64,M,65614.0,48.0568,31.0513,17.0055,Palermo,confronto
082053,2018,Y50-64,T,139974.0,47.5767,30.4614,17.1153,Palermo,confronto
082053,2018,Y9-24,F,53926.0,29.5294,26.7125,2.8168,Palermo,confronto
082053,2018,Y9-24,M,56861.0,26.9464,24.7832,2.1632,Palermo,confronto
082053,2018,Y9-24,T,110787.0,28.2037,25.7223,2.4813,Palermo,confronto
082053,2018,Y_GE65,F,78351.0,28.865,18.5588,10.3062,Palermo,confronto
082053,2018,Y_GE65,M,56599.0,37.8717,21.806,16.0657,Palermo,confronto
082053,2018,Y_GE65,T,134950.0,32.6425,19.9207,12.7217,Palermo,confronto
082053,2019,Y25-49,F,105668.0,63.5178,37.9595,25.5584,Palermo,confronto
082053,2019,Y25-49,M,102458.0,59.2623,40.6654,18.5969,Palermo,confronto
082053,2019,Y25-49,T,208126.0,61.4229,39.2916,22.1313,Palermo,confronto
082053,2019,Y50-64,F,74614.0,48.0379,30.4407,17.5972,Palermo,confronto
082053,2019,Y50-64,M,65987.0,48.6429,31.7032,16.9397,Palermo,confronto
082053,2019,Y50-64,T,140601.0,48.3218,31.0332,17.2886,Palermo,confronto
082053,2019,Y9-24,F,53159.0,28.9057,26.5035,2.4022,Palermo,confronto
082053,2019,Y9-24,M,55921.0,26.8075,24.6973,2.1101,Palermo,confronto
082053,2019,Y9-24,T,109080.0,27.83,25.5776,2.2525,Palermo,confronto
082053,2019,Y_GE65,F,79535.0,29.9705,19.0004,10.97,Palermo,confronto
082053,2019,Y_GE65,M,57912.0,38.7329,22.7155,16.0174,Palermo,confronto
082053,2019,Y_GE65,T,137447.0,33.6624,20.5657,13.0967,Palermo,confronto
082053,2020,Y25-49,F,102167.0,64.8869,37.7088,27.1781,Palermo,confronto
082053,2020,Y25-49,M,97965.0,60.7982,40.6635,20.1347,Palermo,confronto
082053,2020,Y25-49,T,200132.0,62.8855,39.1552,23.7303,Palermo,confronto
082053,2020,Y50-64,F,73635.0,49.6666,31.246,18.4206,Palermo,confronto
082053,2020,Y50-64,M,65437.0,49.8281,32.4556,17.3724,Palermo,confronto
082053,2020,Y50-64,T,139072.0,49.7426,31.8152,17.9274,Palermo,confronto
082053,2020,Y9-24,F,51944.0,29.4567,26.4015,3.0552,Palermo,confronto
082053,2020,Y9-24,M,54677.0,27.6972,24.9319,2.7653,Palermo,confronto
082053,2020,Y9-24,T,106621.0,28.5544,25.6479,2.9066,Palermo,confronto
082053,2020,Y_GE65,F,81154.0,31.2505,19.723,11.5275,Palermo,confronto
082053,2020,Y_GE65,M,59267.0,39.8198,23.3941,16.4257,Palermo,confronto
082053,2020,Y_GE65,T,140421.0,34.8673,21.2725,13.5948,Palermo,confronto
082053,2021,Y25-49,F,99685.0,65.5796,37.2614,28.3182,Palermo,confronto
082053,2021,Y25-49,M,97077.0,61.6469,40.6595,20.9875,Palermo,confronto
082053,2021,Y25-49,T,196762.0,63.6393,38.9379,24.7014,Palermo,confronto
082053,2021,Y50-64,F,74402.0,50.5376,31.5139,19.0237,Palermo,confronto
082053,2021,Y50-64,M,66745.0,49.6981,32.4609,17.2372,Palermo,confronto
082053,2021,Y50-64,T,141147.0,50.1406,31.9617,18.1789,Palermo,confronto
082053,2021,Y9-24,F,51248.0,30.2373,26.6469,3.5904,Palermo,confronto
082053,2021,Y9-24,M,54110.0,28.6989,25.7032,2.9957,Palermo,confronto
082053,2021,Y9-24,T,105358.0,29.4472,26.1622,3.285,Palermo,confronto
082053,2021,Y_GE65,F,81743.0,32.6474,20.6794,11.968,Palermo,confronto
082053,2021,Y_GE65,M,60036.0,40.6656,24.1289,16.5367,Palermo,confronto
082053,2021,Y_GE65,T,141779.0,36.0427,22.1401,13.9026,Palermo,confronto
082053,2022,Y25-49,F,97908.0,67.2356,37.952,29.2836,Palermo,confronto
082053,2022,Y25-49,M,95171.0,62.6609,41.0051,21.6558,Palermo,confronto
082053,2022,Y25-49,T,193079.0,64.9807,39.4569,25.5237,Palermo,confronto
082053,2022,Y50-64,F,74636.0,51.3653,32.3276,19.0377,Palermo,confronto
082053,2022,Y50-64,M,67038.0,50.7533,33.3915,17.3618,Palermo,confronto
082053,2022,Y50-64,T,141674.0,51.0757,32.831,18.2447,Palermo,confronto
082053,2022,Y9-24,F,51143.0,30.6572,26.7779,3.8793,Palermo,confronto
082053,2022,Y9-24,M,53683.0,29.0222,25.8555,3.1667,Palermo,confronto
082053,2022,Y9-24,T,104826.0,29.8199,26.3055,3.5144,Palermo,confronto
082053,2022,Y_GE65,F,82527.0,34.0119,21.4451,12.5668,Palermo,confronto
082053,2022,Y_GE65,M,60886.0,42.0524,25.1848,16.8676,Palermo,confronto
082053,2022,Y_GE65,T,143413.0,37.4255,23.0328,14.3927,Palermo,confronto
082053,2023,Y25-49,F,96311.0,67.2083,37.5814,29.6269,Palermo,confronto
082053,2023,Y25-49,M,93768.0,62.837,40.8754,21.9617,Palermo,confronto
082053,2023,Y25-49,T,190079.0,65.0519,39.2063,25.8456,Palermo,confronto
082053,2023,Y50-64,F,74884.0,52.4505,32.3207,20.1298,Palermo,confronto
082053,2023,Y50-64,M,67239.0,51.1995,33.3348,17.8646,Palermo,confronto
082053,2023,Y50-64,T,142123.0,51.8586,32.8005,19.0581,Palermo,confronto
082053,2023,Y9-24,F,50868.0,29.8046,26.152,3.6526,Palermo,confronto
082053,2023,Y9-24,M,53550.0,28.1307,25.2101,2.9206,Palermo,confronto
082053,2023,Y9-24,T,104418.0,28.9462,25.6689,3.2772,Palermo,confronto
082053,2023,Y_GE65,F,83416.0,35.5915,22.2727,13.3188,Palermo,confronto
082053,2023,Y_GE65,M,61965.0,43.2115,25.4224,17.7891,Palermo,confronto
082053,2023,Y_GE65,T,145381.0,38.8393,23.6152,15.2241,Palermo,confronto
082053,2024,Y25-49,F,94681.0,67.8288,37.4162,30.4126,Palermo,confronto
082053,2024,Y25-49,M,92326.0,63.3776,40.592,22.7856,Palermo,confronto
082053,2024,Y25-49,T,187007.0,65.6312,38.9841,26.6471,Palermo,confronto
082053,2024,Y50-64,F,75252.0,53.0405,32.4377,20.6028,Palermo,confronto
