territorio,I1,L11,nome_comune,gemella,evidenzia
087046,98.3,27.8,Sant'Alfio,False,
087047,92.5,19.4,Santa Maria di Licodia,False,
087048,96.9,24.2,Santa Venerina,False,
087049,100.9,17.4,Scordia,False,
087050,100.5,29.4,Trecastagni,False,
087051,101.6,32.9,Tremestieri Etneo,False,
087052,99.6,29.3,Valverde,False,
087053,96.0,28.9,Viagrande,False,
087054,90.7,20.6,Vizzini,False,
087055,95.9,24.9,Zafferana Etnea,False,
087056,86.2,25.7,Mazzarrone,False,
087057,91.8,39.4,Maniace,False,
087058,105.6,27.0,Ragalna,False,
088001,89.2,28.2,Acate,False,
088002,95.3,26.6,Chiaramonte Gulfi,False,
088003,88.9,23.8,Comiso,False,
088004,103.5,29.3,Giarratana,False,
088005,95.1,27.5,Ispica,False,
088006,101.9,30.4,Modica,False,
088007,88.4,27.8,Monterosso Almo,False,
088008,111.5,22.2,Pozzallo,False,
088009,99.2,34.3,Ragusa,False,
088010,86.7,29.0,Santa Croce Camerina,False,
088011,106.1,27.3,Scicli,False,
088012,87.0,25.1,Vittoria,False,
089001,110.0,21.4,Augusta,False,
089002,103.8,19.5,Avola,False,
089003,105.5,26.9,Buccheri,False,
089004,94.4,29.4,Buscemi,False,
089005,104.6,23.2,Canicattini Bagni,False,
089006,100.8,22.8,Carlentini,False,
089007,110.3,22.1,Cassaro,False,
089008,101.7,21.7,Ferla,False,
089009,96.7,23.4,Floridia,False,
089010,104.9,13.0,Francofonte,False,
089011,105.9,17.0,Lentini,False,
089012,100.2,21.0,Melilli,False,
089013,101.4,21.4,Noto,False,
089014,99.7,23.0,Pachino,False,
089015,95.0,28.8,Palazzolo Acreide,False,
089016,101.4,22.8,Rosolini,False,
089017,103.5,28.2,Siracusa,False,
089018,97.1,24.5,Solarino,False,
089019,97.8,20.9,Sortino,False,
089020,103.5,19.7,Portopalo di Capo Passero,False,
089021,105.4,19.9,Priolo Gargallo,False,
