territorio,anno,genere,eta,cittadinanza,titolo_studio,condizione,valore
081001,2018,T,Y15-24,TOTAL,ALL,23,3902.0
081001,2019,T,Y15-24,TOTAL,ALL,23,3842.0
081001,2021,T,Y15-24,TOTAL,ALL,23,3788.21076266809
081001,2022,T,Y15-24,TOTAL,ALL,23,3732.38953666463
081001,2023,T,Y15-24,TOTAL,ALL,23,3683.944344856798
081001,2024,T,Y15-24,TOTAL,ALL,23,3618.3711262445927
081001,2018,T,Y15-24,TOTAL,ALL,24,10.0
081001,2019,T,Y15-24,TOTAL,ALL,24,14.0
081001,2021,T,Y15-24,TOTAL,ALL,24,11.5826196833411
081001,2022,T,Y15-24,TOTAL,ALL,24,17.7168072505415
081001,2023,T,Y15-24,TOTAL,ALL,24,10.62519699393724
081001,2024,T,Y15-24,TOTAL,ALL,24,17.131560644635275
081001,2018,T,Y15-24,TOTAL,ALL,4,203.0
081001,2019,T,Y15-24,TOTAL,ALL,4,178.0
081001,2021,T,Y15-24,TOTAL,ALL,4,235.832721610136
081001,2022,T,Y15-24,TOTAL,ALL,4,201.164410783922
081001,2023,T,Y15-24,TOTAL,ALL,4,174.57672115719265
081001,2024,T,Y15-24,TOTAL,ALL,4,146.21913949092703
081001,2018,T,Y15-24,TOTAL,ALL,5,3126.0
081001,2019,T,Y15-24,TOTAL,ALL,5,3231.0
081001,2021,T,Y15-24,TOTAL,ALL,5,3065.03909099219
081001,2022,T,Y15-24,TOTAL,ALL,5,3106.62452169826
081001,2023,T,Y15-24,TOTAL,ALL,5,3176.82255105988
081001,2024,T,Y15-24,TOTAL,ALL,5,3098.9056514991034
081001,2018,T,Y15-24,TOTAL,ALL,7,563.0
081001,2019,T,Y15-24,TOTAL,ALL,7,419.0
081001,2021,T,Y15-24,TOTAL,ALL,7,475.756330382425
081001,2022,T,Y15-24,TOTAL,ALL,7,406.883796931912
081001,2023,T,Y15-24,TOTAL,ALL,7,321.91987564578835
081001,2024,T,Y15-24,TOTAL,ALL,7,356.1147746099268
081001,2018,T,Y15-24,TOTAL,ALL,99,5297.0
081001,2019,T,Y15-24,TOTAL,ALL,99,5190.0
081001,2021,T,Y15-24,TOTAL,ALL,99,4910.0
081001,2022,T,Y15-24,TOTAL,ALL,99,4920.0
081001,2023,T,Y15-24,TOTAL,ALL,99,4821.0
081001,2024,T,Y15-24,TOTAL,ALL,99,4721.0
