territorio,nome_territorio,anno,genere,stato,quota,persone,destinazione
082006,Bagheria,2024,T,studenti,60.7,3581.2,dentro lavoro o studio
082053,Palermo,2018,F,studenti,59.6,20452.0,dentro lavoro o studio
082053,Palermo,2018,M,studenti,54.6,19900.0,dentro lavoro o studio
082053,Palermo,2018,T,studenti,57.0,40352.0,dentro lavoro o studio
082053,Palermo,2019,F,studenti,61.8,20849.0,dentro lavoro o studio
082053,Palermo,2019,M,studenti,56.6,20288.0,dentro lavoro o studio
082053,Palermo,2019,T,studenti,59.1,41137.0,dentro lavoro o studio
082053,Palermo,2021,F,studenti,66.6,21454.6,dentro lavoro o studio
082053,Palermo,2021,M,studenti,60.6,20859.2,dentro lavoro o studio
082053,Palermo,2021,T,studenti,63.5,42313.8,dentro lavoro o studio
082053,Palermo,2022,F,studenti,67.3,21866.5,dentro lavoro o studio
082053,Palermo,2022,M,studenti,61.3,20988.3,dentro lavoro o studio
082053,Palermo,2022,T,studenti,64.2,42854.7,dentro lavoro o studio
082053,Palermo,2023,F,studenti,67.1,21832.0,dentro lavoro o studio
082053,Palermo,2023,M,studenti,61.0,20962.6,dentro lavoro o studio
082053,Palermo,2023,T,studenti,63.9,42794.7,dentro lavoro o studio
082053,Palermo,2024,F,studenti,66.8,21830.7,dentro lavoro o studio
082053,Palermo,2024,M,studenti,59.8,20548.6,dentro lavoro o studio
082053,Palermo,2024,T,studenti,63.2,42379.3,dentro lavoro o studio
IT,Italia,2018,F,studenti,64.8,1810128.0,dentro lavoro o studio
IT,Italia,2018,M,studenti,56.9,1732750.0,dentro lavoro o studio
IT,Italia,2018,T,studenti,60.7,3542878.0,dentro lavoro o studio
IT,Italia,2019,F,studenti,66.8,1866004.0,dentro lavoro o studio
IT,Italia,2019,M,studenti,58.1,1764365.0,dentro lavoro o studio
IT,Italia,2019,T,studenti,62.3,3630369.0,dentro lavoro o studio
IT,Italia,2021,F,studenti,67.4,1869043.5,dentro lavoro o studio
IT,Italia,2021,M,studenti,58.3,1758061.9,dentro lavoro o studio
IT,Italia,2021,T,studenti,62.7,3627105.3,dentro lavoro o studio
IT,Italia,2022,F,studenti,68.5,1914685.9,dentro lavoro o studio
IT,Italia,2022,M,studenti,59.2,1798161.1,dentro lavoro o studio
