territorio,anno,genere,eta,eta_anni,stato_civile,cittadinanza,valore
082053,2022,F,Y42,42.0,ALL,FRGAPO,288
082053,2023,F,Y42,42.0,ALL,FRGAPO,262
082053,2024,F,Y42,42.0,ALL,FRGAPO,289
082053,2021,F,Y42,42.0,ALL,ITL,4080
082053,2022,F,Y42,42.0,ALL,ITL,3999
082053,2023,F,Y42,42.0,ALL,ITL,3805
082053,2024,F,Y42,42.0,ALL,ITL,3670
082053,2021,F,Y42,42.0,ALL,TOTAL,4355
082053,2022,F,Y42,42.0,ALL,TOTAL,4287
082053,2023,F,Y42,42.0,ALL,TOTAL,4067
082053,2024,F,Y42,42.0,ALL,TOTAL,3959
082053,2021,F,Y43,43.0,ALL,FRGAPO,262
082053,2022,F,Y43,43.0,ALL,FRGAPO,277
082053,2023,F,Y43,43.0,ALL,FRGAPO,288
082053,2024,F,Y43,43.0,ALL,FRGAPO,273
082053,2021,F,Y43,43.0,ALL,ITL,4067
082053,2022,F,Y43,43.0,ALL,ITL,4091
082053,2023,F,Y43,43.0,ALL,ITL,4018
082053,2024,F,Y43,43.0,ALL,ITL,3796
082053,2021,F,Y43,43.0,ALL,TOTAL,4329
082053,2022,F,Y43,43.0,ALL,TOTAL,4368
082053,2023,F,Y43,43.0,ALL,TOTAL,4306
082053,2024,F,Y43,43.0,ALL,TOTAL,4069
082053,2021,F,Y44,44.0,ALL,FRGAPO,265
082053,2022,F,Y44,44.0,ALL,FRGAPO,263
082053,2023,F,Y44,44.0,ALL,FRGAPO,275
082053,2024,F,Y44,44.0,ALL,FRGAPO,282
082053,2021,F,Y44,44.0,ALL,ITL,4255
082053,2022,F,Y44,44.0,ALL,ITL,4080
082053,2023,F,Y44,44.0,ALL,ITL,4110
082053,2024,F,Y44,44.0,ALL,ITL,4019
082053,2021,F,Y44,44.0,ALL,TOTAL,4520
082053,2022,F,Y44,44.0,ALL,TOTAL,4343
082053,2023,F,Y44,44.0,ALL,TOTAL,4385
082053,2024,F,Y44,44.0,ALL,TOTAL,4301
082053,2021,F,Y45,45.0,ALL,FRGAPO,281
082053,2022,F,Y45,45.0,ALL,FRGAPO,268
082053,2023,F,Y45,45.0,ALL,FRGAPO,261
082053,2024,F,Y45,45.0,ALL,FRGAPO,278
