territorio,anno,genere,eta,eta_anni,stato_civile,valore
082006,2022,M,Y17,17.0,3,0
082006,2023,M,Y17,17.0,3,0
082006,2024,M,Y17,17.0,3,0
082006,2025,M,Y17,17.0,3,0
082006,2019,M,Y17,17.0,4,0
082006,2020,M,Y17,17.0,4,0
082006,2021,M,Y17,17.0,4,0
082006,2022,M,Y17,17.0,4,0
082006,2023,M,Y17,17.0,4,0
082006,2024,M,Y17,17.0,4,0
082006,2025,M,Y17,17.0,4,0
082006,2019,M,Y17,17.0,99,310
082006,2020,M,Y17,17.0,99,301
082006,2021,M,Y17,17.0,99,309
082006,2022,M,Y17,17.0,99,328
082006,2023,M,Y17,17.0,99,300
082006,2024,M,Y17,17.0,99,286
082006,2025,M,Y17,17.0,99,315
082006,2026,M,Y17,17.0,99,290
082006,2019,M,Y18,18.0,1,323
082006,2020,M,Y18,18.0,1,317
082006,2021,M,Y18,18.0,1,301
082006,2022,M,Y18,18.0,1,299
082006,2023,M,Y18,18.0,1,329
082006,2024,M,Y18,18.0,1,298
082006,2025,M,Y18,18.0,1,287
082006,2019,M,Y18,18.0,15,0
082006,2020,M,Y18,18.0,15,0
082006,2021,M,Y18,18.0,15,0
082006,2022,M,Y18,18.0,15,0
082006,2023,M,Y18,18.0,15,0
082006,2024,M,Y18,18.0,15,0
082006,2025,M,Y18,18.0,15,0
082006,2019,M,Y18,18.0,16,0
082006,2020,M,Y18,18.0,16,0
082006,2021,M,Y18,18.0,16,0
082006,2022,M,Y18,18.0,16,0
082006,2023,M,Y18,18.0,16,0
082006,2024,M,Y18,18.0,16,0
082006,2025,M,Y18,18.0,16,0
082006,2019,M,Y18,18.0,17,0
082006,2020,M,Y18,18.0,17,0
082006,2021,M,Y18,18.0,17,0
082006,2022,M,Y18,18.0,17,0
082006,2023,M,Y18,18.0,17,0
082006,2024,M,Y18,18.0,17,0
082006,2025,M,Y18,18.0,17,0
082006,2019,M,Y18,18.0,2,0
082006,2020,M,Y18,18.0,2,0
082006,2021,M,Y18,18.0,2,0
082006,2022,M,Y18,18.0,2,0
082006,2023,M,Y18,18.0,2,0
