anno,x,densita
2018,40.589,1.4601128385036103e-09
2018,40.648,1.025580706925317e-09
2018,40.707,7.171404131382526e-10
2018,40.767,4.99216281891525e-10
2018,40.826,3.459575206782141e-10
2018,40.885,2.386742916867122e-10
2018,40.945,1.6392180206658383e-10
2018,41.004,1.1207672287714315e-10
2018,41.064,7.628536054267206e-11
2018,41.123,5.1690833976722144e-11
2018,41.182,3.486839381449904e-11
2018,41.242,2.341509650388598e-11
2018,41.301,1.5653272061148588e-11
2018,41.36,1.0417393695893694e-11
2018,41.42,6.901720976024751e-12
2018,41.479,4.551973553403576e-12
2018,41.538,2.9887234569481085e-12
2018,41.598,1.9535074869541828e-12
2018,41.657,1.2711226834671438e-12
2018,41.717,8.233843556407392e-13
2018,41.776,5.309580817261112e-13
2019,11.441,1.0814969187127373e-06
2019,11.501,1.393919521994827e-06
2019,11.56,1.788753733635865e-06
2019,11.619,2.2854230953744544e-06
2019,11.679,2.9072929068784185e-06
2019,11.738,3.6823083448962164e-06
2019,11.798,4.643697672020375e-06
2019,11.857,5.830738416487565e-06
2019,11.916,7.289581928756755e-06
2019,11.976,9.074128818564854e-06
2019,12.035,1.1246944469472598e-05
2019,12.094,1.3880200163400788e-05
2019,12.154,1.7056621400889702e-05
2019,12.213,2.0870420880960768e-05
2019,12.272,2.542818944796443e-05
2019,12.332,3.0849714295463566e-05
2019,12.391,3.726869004441319e-05
2019,12.451,4.483328521745878e-05
2019,12.51,5.370652436678131e-05
2019,12.569,6.406644494485436e-05
2019,12.629,7.61059882007742e-05
2019,12.688,9.003258518994172e-05
2019,12.747,0.00010606740262132833
2019,12.807,0.0001244442189052361
2019,12.866,0.000145407908509175
2019,12.925,0.00016921252259917034
2019,12.985,0.0001961189658562594
2019,13.044,0.00022639228311651055
2019,13.104,0.00026029858476763775
2019,13.163,0.00029810165619954647
2019,13.222,0.0003400593134801912
2019,13.282,0.00038641958413016675
2019,13.341,0.0004374168076254072
2019,13.4,0.0004932677642283686
2019,13.46,0.0005541679520665479
2019,13.519,0.0006202881401896316
2019,13.578,0.0006917713288513069
2019,13.638,0.0007687302468006677
2019,13.697,0.0008512455084179475
2019,13.757,0.0009393645407908542
2019,13.816,0.0010331013722590396
2019,13.875,0.0011324373498038322
2019,13.935,0.001237322823488824
2019,13.994,0.0013476798028418102
2019,14.053,0.0014634055537931284
2019,14.113,0.0015843770670059486
2019,14.172,0.0017104562908320283
2019,14.231,0.0018414959865362492
2019,14.291,0.0019773460317613544
2019,14.35,0.002117859972327571
2019,14.41,0.0022629016041247328
2019,14.469,0.0024123513575582713
2019,14.528,0.002566112257909414
2019,14.588,0.002724115246775715
2019,14.647,0.0028863236726622125
2019,14.706,0.0030527367924116475
2019,14.766,0.003223392168507839
2019,14.825,0.003398366898775326
2019,14.884,0.0035777776724897495
2019,14.944,0.0037617797077827064
2019,15.003,0.003950564686474195
2019,15.063,0.004144357860857661
2019,15.122,0.004343414559186917
2019,15.181,0.004548016359454877
2019,15.241,0.00475846723158371
2019,15.3,0.004975089963893405
2019,15.359,0.0051982231888391016
2019,15.419,0.005428219304427885
2019,15.478,0.005665443551234793
2019,15.537,0.005910274451262132
2019,15.597,0.006163105745693662
2019,15.656,0.006424349886471576
2019,15.715,0.00669444304496763
2019,15.775,0.006973851503918012
2019,15.834,0.007263079200829935
2019,15.894,0.007562676097119951
2019,15.953,0.007873246962229283
2019,16.012,0.008195460090596912
2019,16.072,0.008530055415922345
2019,16.131,0.008877851455203607
2019,16.19,0.009239750507293686
2019,16.25,0.009616741548848236
2019,16.309,0.010009900315050706
2019,16.368,0.010420386122720313
2019,16.428,0.010849435087459544
2019,16.487,0.011298349501398651
2019,16.547,0.011768483269859213
2019,16.606,0.012261223449095018
2019,16.665,0.012777968077774258
2019,16.725,0.013320100646272199
2019,16.784,0.013888961694270957
2019,16.843,0.014485818162862728
2019,16.903,0.01511183124695587
2019,16.962,0.01576802359248905
2019,17.021,0.016455246756739133
2019,17.081,0.017174149895701398
2019,17.14,0.01792515065796268
2019,17.2,0.01870840924850733
2019,17.259,0.01952380657835898
2019,17.318,0.020370927337696732
2019,17.378,0.021249048722845245
2019,17.437,0.0221571354138981
2019,17.496,0.02309384124300082
2019,17.556,0.024057517817424625
2019,17.615,0.025046230170973145
2019,17.674,0.026057779316876643
2019,17.734,0.027089731370408786
2019,17.793,0.028139452705537478
2019,17.853,0.029204150412741273
2019,17.912,0.030280917140556463
2019,17.971,0.031366779237379655
2019,18.031,0.032458746968386784
2019,18.09,0.03355386547079036
2019,18.149,0.03464926503435018
2019,18.209,0.035742209257802644
2019,18.268,0.03683013963967895
2019,18.327,0.037910715216763334
2019,18.387,0.03898184596690263
2019,18.446,0.040041718845137075
2019,18.506,0.04108881552158876
2019,18.565,0.042121921132650966
2019,18.624,0.04314012363818564
2019,18.684,0.04414280368896564
2019,18.743,0.045129615240844204
2019,18.802,0.046100457493655024
2019,18.862,0.04705543907073224
2019,18.921,0.047994835675340054
2019,18.98,0.048919042748870996
2019,19.04,0.049828524898371335
2019,19.099,0.050723764044625246
