territorio,nome_comune,x,y,distanza_km,occ_2011,occ_2024,pct_2011,pct_2024,donne_15piu_2024,rango_2024,ruolo
082063,San Cipirello,339962,4200436,32.0,18.1,22.3,12.3,8.7,2184,356,
082064,San Giuseppe Jato,337917,4203779,32.5,15.5,21.5,2.6,5.4,3544,369,
082065,San Mauro Castelverde,429660,4197966,64.0,21.1,22.3,33.8,9.0,587,355,
082066,Santa Cristina Gela,353588,4204415,18.4,24.5,28.0,55.6,46.9,439,207,
082067,Santa Flavia,370792,4214344,2.9,18.6,25.6,16.9,28.2,4931,280,vicino
082068,Sciara,390347,4198336,28.1,17.1,20.6,7.4,3.3,1084,377,
082069,Sclafani Bagni,392468,4177290,45.4,21.2,25.3,34.6,24.4,174,295,
082070,Termini Imerese,386235,4201712,22.8,21.0,25.3,32.6,24.9,11139,293,
082071,Terrasini,331761,4220607,36.8,18.3,26.3,13.8,35.4,5688,252,
082072,Torretta,344640,4223996,25.0,19.0,25.3,19.7,24.6,1904,294,
082073,Trabia,377433,4205557,13.7,17.7,23.2,9.7,15.1,4625,331,
082074,Trappeto,330050,4215762,38.1,19.7,25.6,24.6,27.4,1389,283,
082075,Ustica,341372,4285547,74.9,17.3,27.7,7.9,44.1,577,218,
082076,Valledolmo,396772,4178991,46.5,19.2,24.1,21.5,19.2,1463,315,
082077,Ventimiglia di Sicilia,370004,4205282,10.5,16.4,21.1,5.1,4.6,791,372,
082078,Vicari,374526,4183624,32.6,17.7,22.4,9.7,9.5,1096,353,
082079,Villabate,363440,4215562,4.7,16.6,21.7,5.9,5.9,8392,367,vicino
082080,Villafrati,367059,4199114,16.6,21.0,24.3,32.6,21.0,1384,308,
082081,Scillato,405882,4190417,45.4,18.5,22.5,16.2,10.5,271,349,
082082,Blufi,418304,4178294,62.5,29.5,32.7,85.6,80.0,416,78,
083001,Alcara li Fusi,473709,4204571,106.1,27.0,26.4,72.8,36.2,792,249,
083002,Alì,535807,4210609,167.7,27.1,27.4,73.6,42.1,266,226,
083003,Alì Terme,537575,4207656,169.6,29.1,37.5,83.3,97.4,1068,10,
083004,Antillo,519417,4201844,151.9,26.0,27.2,66.4,40.8,342,231,
083005,Barcellona Pozzo di Gotto,520183,4220023,152.1,29.2,32.9,83.8,81.0,17784,74,
083006,Basicò,505787,4212332,137.6,25.9,19.5,65.4,1.8,313,383,
083007,Brolo,485637,4221798,117.6,36.5,36.4,98.2,94.9,2647,20,
083008,Capizzi,453441,4190331,88.9,22.3,28.8,40.3,53.8,1263,180,
083009,Capo d'Orlando,476042,4220669,108.0,36.5,37.4,98.2,96.9,6172,12,
083010,Capri Leone,475486,4216495,107.3,34.6,33.3,96.9,83.6,2001,64,
083011,Caronia,454872,4203005,87.6,26.1,27.8,66.9,44.9,1354,215,
083012,Casalvecchio Siculo,523653,4204446,155.9,22.4,34.4,41.0,88.7,291,44,
083013,Castel di Lucio,438110,4192776,73.6,25.7,22.6,63.6,10.8,636,348,
083014,Castell'Umberto,483524,4214154,115.4,31.0,33.6,89.0,86.4,1296,53,
083015,Castelmola,522974,4190812,156.8,33.6,34.2,95.4,87.9,477,47,
083016,Castroreale,520530,4213200,152.4,27.2,31.2,73.8,72.3,1018,108,
083017,Cesarò,469752,4192077,104.3,25.9,29.6,65.4,59.2,952,159,
083018,Condrò,528735,4224636,160.8,19.5,25.4,23.1,25.6,228,290,
083019,Falcone,505970,4217452,137.8,29.5,29.1,85.6,55.1,1279,175,
083020,Ficarra,485388,4219143,117.3,28.7,26.8,82.1,38.5,609,240,
083021,Fiumedinisi,532568,4210745,164.5,31.4,30.3,90.5,65.6,555,134,
083022,Floresta,492476,4201999,125.0,27.8,31.9,76.9,77.2,213,89,
083023,Fondachelli-Fantina,516626,4206594,148.7,27.3,30.2,74.1,65.4,397,135,
083024,Forza d'Agrò,525772,4197894,158.6,31.1,32.3,89.2,77.9,403,86,
083025,Francavilla di Sicilia,510546,4198495,143.4,31.4,32.8,90.5,80.8,1608,75,
