territorio,nome_comune,x,y,distanza_km,occ_2011,occ_2024,pct_2011,pct_2024,donne_15piu_2024,rango_2024,ruolo
087014,Castiglione di Sicilia,504253,4186384,139.2,27.8,31.8,76.9,76.2,1295,93,
087015,Catania,504456,4146098,153.0,23.8,28.5,50.5,51.3,134721,190,
087016,Fiumefreddo di Sicilia,518228,4182019,153.8,24.1,29.5,52.6,57.9,4144,164,
087017,Giarre,514211,4174239,151.8,26.8,31.4,70.8,73.3,12056,104,
087018,Grammichele,466595,4119899,137.3,20.9,25.1,31.3,23.3,5443,299,
087019,Gravina di Catania,505655,4156370,149.7,28.5,33.6,81.0,85.9,11706,55,
087020,Licodia Eubea,471934,4111787,146.8,18.5,23.8,16.2,17.4,1235,322,
087021,Linguaglossa,509906,4185553,144.9,31.8,36.3,91.3,94.4,2283,22,
087022,Maletto,492210,4183938,128.0,18.7,26.7,17.9,37.9,1621,242,
087023,Mascali,514611,4179645,150.8,26.8,32.3,70.8,78.7,6393,83,
087024,Mascalucia,503284,4160063,146.1,28.3,33.2,80.3,82.6,14209,68,
087025,Militello in Val di Catania,482192,4125759,145.2,14.9,22.1,1.3,6.4,2980,365,
087026,Milo,510033,4176413,147.2,24.7,33.4,57.7,84.6,443,60,
087027,Mineo,470541,4128437,134.5,18.3,22.9,13.8,12.3,2018,342,
087028,Mirabella Imbaccari,452037,4130700,119.4,16.5,21.0,5.4,4.1,1994,374,
087029,Misterbianco,501136,4150836,147.9,21.4,27.9,35.4,46.2,21114,210,
087030,Motta Sant'Anastasia,496986,4149566,144.8,27.6,32.4,75.9,79.0,5195,82,
087031,Nicolosi,500967,4169597,140.5,28.5,36.5,81.0,95.6,3355,17,
087032,Palagonia,478012,4132949,137.5,15.7,19.3,2.8,1.5,6675,384,
087033,Paternò,486229,4151807,134.2,21.2,26.4,34.6,35.6,19800,251,
087034,Pedara,505090,4165640,145.8,29.2,34.2,83.8,88.2,6602,46,
087035,Piedimonte Etneo,514294,4183838,149.5,27.9,31.2,78.5,72.1,1723,109,
087036,Raddusa,459089,4149240,112.6,18.5,27.7,16.2,43.8,1234,219,
087037,Ramacca,478389,4145200,130.8,18.6,22.9,16.9,12.6,4306,341,
087038,Randazzo,495983,4189601,130.4,26.3,31.6,67.4,74.6,4649,99,
087039,Riposto,517695,4173191,155.4,25.0,29.6,60.8,58.5,6278,162,
087040,San Cono,443943,4127210,116.4,18.7,28.0,17.9,46.7,1039,208,
087041,San Giovanni la Punta,508367,4158356,151.4,29.8,35.6,86.7,93.3,10896,26,
087042,San Gregorio di Catania,509755,4157032,153.2,36.9,39.1,98.7,99.7,5288,1,massimo 2024
087043,San Michele di Ganzaria,449373,4125451,121.3,18.0,22.2,11.3,7.2,1312,362,
087044,San Pietro Clarenza,501891,4157644,145.7,26.5,32.8,68.5,80.5,3470,76,
087045,Sant'Agata li Battiati,507082,4156432,151.0,33.0,36.9,95.1,96.7,4414,13,
087046,Sant'Alfio,508804,4178810,145.4,27.8,33.2,76.9,83.3,689,65,
087047,Santa Maria di Licodia,491224,4164644,133.2,19.4,25.8,22.6,30.8,3309,270,
087048,Santa Venerina,512679,4170281,151.4,24.2,30.8,54.4,70.3,3788,116,
087049,Scordia,486666,4128122,147.3,17.4,24.2,8.5,19.5,7042,314,
087050,Trecastagni,506524,4166567,146.8,29.4,34.9,85.1,90.5,4990,37,
087051,Tremestieri Etneo,506159,4158956,149.2,32.9,36.6,94.6,95.9,8973,16,
087052,Valverde,510717,4159506,153.2,29.3,34.9,84.6,90.8,3417,36,
087053,Viagrande,508636,4163583,149.8,28.9,35.1,82.6,92.1,3921,31,
087054,Vizzini,480873,4116057,150.4,20.6,22.8,29.2,11.8,2612,344,
087055,Zafferana Etnea,506071,4172746,144.4,24.9,30.4,59.0,67.4,4068,127,
087056,Mazzarrone,461557,4104786,144.9,25.7,30.1,63.6,64.4,1696,139,
087057,Maniace,481531,4191725,115.8,39.4,32.1,99.7,77.4,1567,88,massimo 2011
087058,Ragalna,496263,4168746,136.4,27.0,36.2,72.8,94.1,1827,23,
088001,Acate,449946,4096322,144.6,28.2,28.8,79.5,53.1,3959,183,
088002,Chiaramonte Gulfi,467707,4100418,152.3,26.6,34.7,69.0,89.7,3423,40,
088003,Comiso,465667,4092182,157.3,23.8,29.1,50.5,55.4,13088,174,
088004,Giarratana,482700,4103031,160.6,29.3,29.4,84.6,56.7,1362,169,
088005,Ispica,493442,4068067,193.6,27.5,29.8,75.4,60.5,6977,154,
088006,Modica,481139,4076691,179.1,30.4,34.8,87.9,90.0,23944,39,
088007,Monterosso Almo,478454,4102949,157.7,27.8,35.0,76.9,91.5,1277,33,
088008,Pozzallo,487791,4065500,192.0,22.2,26.0,39.5,32.6,8312,263,
088009,Ragusa,469938,4084516,166.0,34.3,38.2,96.7,98.5,33112,6,
088010,Santa Croce Camerina,457041,4075373,166.0,29.0,34.3,82.8,88.5,4566,45,
088011,Scicli,471807,4070028,178.7,27.3,30.5,74.1,67.7,11794,126,
088012,Vittoria,455360,4090968,152.1,25.1,27.9,61.5,46.4,27070,209,
089001,Augusta,516388,4125217,173.6,21.4,27.6,35.4,43.3,15597,221,
089002,Avola,510559,4086275,192.4,19.5,26.1,23.1,33.3,13664,260,
089003,Buccheri,488766,4113043,158.3,26.9,28.7,72.1,52.3,820,186,
089004,Buscemi,489641,4103940,165.0,29.4,30.0,85.1,63.8,416,141,
089005,Canicattini Bagni,506591,4098973,181.0,23.2,27.8,45.9,44.6,2964,216,
089006,Carlentini,499042,4123714,159.9,22.8,28.5,43.8,51.8,7778,188,
089007,Cassaro,495714,4106508,167.8,22.1,26.3,38.5,35.1,327,253,
089008,Ferla,494206,4110584,164.1,21.7,27.9,37.7,45.9,1011,211,
089009,Floridia,509707,4104022,180.2,23.4,28.1,47.4,47.4,9395,205,
089010,Francofonte,485521,4119149,151.9,13.0,19.0,0.0,1.3,5117,385,minimo 2011
089011,Lentini,490821,4131512,148.7,17.0,22.2,6.9,7.4,9738,361,
089012,Melilli,509658,4118890,171.4,21.0,27.6,32.6,43.1,5675,222,
089013,Noto,500792,4083033,187.5,21.4,28.1,35.4,47.9,10563,203,
089014,Pachino,506618,4061579,207.1,23.0,27.2,44.9,41.3,9275,229,
089015,Palazzolo Acreide,494007,4101498,169.9,28.8,32.9,82.3,81.3,3738,73,
089016,Rosolini,492744,4076934,186.4,22.8,29.6,43.8,59.0,8949,160,
089017,Siracusa,518976,4098297,191.1,28.2,31.5,79.5,73.8,52130,102,
089018,Solarino,509426,4106375,178.6,24.5,25.8,55.6,30.3,3291,272,
089019,Sortino,503366,4110467,171.3,20.9,27.5,31.3,42.3,3622,225,
089020,Portopalo di Capo Passero,508029,4058318,210.5,19.7,26.8,24.6,38.7,1660,239,
089021,Priolo Gargallo,515187,4110335,180.8,19.9,24.8,26.4,21.5,4976,306,
