AnnoScolastico,territorio,DescrizioneComune,CodiceScuola,DenominazioneScuola,IndirizzoScuola,CAPScuola,DescrizioneTipologiaGradoIstruzioneScuola
202526,,CALTANISSETTA,CLTD090005,"I.T.E.T. ""RAPISARDI-DA VINCI""",VIALE REGINA MARGHERITA 27,93100,IST TEC COMMERCIALE E PER GEOMETRI
202526,,CALTANISSETTA,CLTD090027,"""M. RAPISARDI"" CARCERARIO - CALTANISSETT",VIALE REGINA MARGHERITA,93100,ISTITUTO TECNICO COMMERCIALE
202526,,CALTANISSETTA,CLTD09050E,"""M. RAPISARDI"" CORSO SERALE - CALTANISS",VIALE REGINA MARGHERITA,93100,ISTITUTO TECNICO COMMERCIALE
202526,,CALTANISSETTA,CLTE013018,LUIGI RUSSO,VIA LEONE XIII 48/D,93100,ISTITUTO TECNICO PER ATTIVITA' SOCIALI (GIA' ITF)
202526,,CALTANISSETTA,CLTE01350L,CORSO SERALE BIOTEC. - CALTANISSETTA,VIA LEONE XIII 48/D,93100,ISTITUTO TECNICO PER ATTIVITA' SOCIALI (GIA' ITF)
202526,,CALTANISSETTA,CLTF012017,SETTORE TECNOLOGICO S. MOTTURA,VIALE DELLA REGIONE 71,93100,ISTITUTO TECNICO INDUSTRIALE
202526,,CALTANISSETTA,CLTF01251L,CORSO SERALE S. MOTTURA - CALTANISSETTA,VIALE DELLA REGIONE 71,93100,ISTITUTO TECNICO INDUSTRIALE
202526,,CALTANISSETTA,CLTF019012,"""A. VOLTA""",VIA MARTOGLIO,93100,ISTITUTO TECNICO INDUSTRIALE
202526,,CAMMARATA,AGTF02601R,"ITI ""ARCHIMEDE""",VIA G. BONFIGLIO44,92022,ISTITUTO TECNICO INDUSTRIALE
202526,,CAMPOBELLO DI LICATA,AGTD01801G,GINO ZAPPA,VIA ARCADIPANE 12,Non Disponibile,ISTITUTO TECNICO COMMERCIALE
202526,,CAMPOBELLO DI LICATA,AGTD01850X,GINO ZAPPA,Non Disponibile,Non Disponibile,ISTITUTO TECNICO COMMERCIALE
202526,,CAMPOBELLO DI MAZARA,TPTL021017,I.T.G. V. ACCARDI - CAMPOBELLO DI MAZARA,VIA ROMA - PROLUNGAMENTO,91021,ISTITUTO TECNICO PER GEOMETRI
202526,,CAMPOBELLO DI MAZARA,TPTL02151L,ISTITUTO TECNICO PER GEOMETRI,VIA ROMA PROLUNGAMENTO,91021,ISTITUTO TECNICO PER GEOMETRI
202526,,CANICATTI',AGTD02701A,ITCG GALILEO GALILEI,VIA PIRANDELLO 4,92024,IST TEC COMMERCIALE E PER GEOMETRI
202526,,CAPO D'ORLANDO,METD024013,ITC CAPO D'ORLANDO MERENDINO,C/DA SANTA LUCIA,98071,IST TEC COMMERCIALE E PER GEOMETRI
202526,,CARLENTINI,SRTF01101L,I.T.I. CARLENTINI,VIA CAPORALE MORELLI 4,96013,ISTITUTO TECNICO INDUSTRIALE
202526,,CARLENTINI,SRTF011512,I.T.I. CARLENTINI-SERALE-,VIA CAPORALE MORELLI 4,96013,ISTITUTO TECNICO INDUSTRIALE
202526,,CASTELLAMMARE DEL GOLFO,TPTD00802B,"TECNICO TURISMO - ITC ""P. MATTARELLA""",VIA FLEMING 19,91014,ISTITUTO TECNICO COMMERCIALE
202526,,CASTELTERMINI,AGTD02601E,"ITIA ""ARCHIMEDE""",VIALE KENNEDY N. 29,92025,ISTITUTO TECNICO COMMERCIALE
202526,,CASTELVETRANO,TPTD02101R,"I.T.C. ""G.B.FERRIGNO"" C/VETRANO",VIA G. GENTILE S.N.C.,91022,ISTITUTO TECNICO COMMERCIALE
202526,,CATANIA,CTTA03801Q,F. EREDIA,VIA DEL BOSCO 43,95125,ISTITUTO TECNICO AGRARIO
202526,,CATANIA,CTTA038504,F.EREDIA CORSO SERALE,VIA DEL BOSCO N.43,95125,ISTITUTO TECNICO AGRARIO
202526,,CATANIA,CTTB01000A,ITAER A. FERRARIN,VIA GALERMO 172,95123,ISTITUTO TECNICO AERONAUTICO
202526,,CATANIA,CTTD02301C,GEMMELLARO - AMMINISTFIN. E MKT,CORSO INDIPENDENZA229,95122,ISTITUTO TECNICO COMMERCIALE
202526,,CATANIA,CTTD02350R,CARLO GEMMELLARO SERALE,CORSO INDIPENDENZA 229,95122,ISTITUTO TECNICO COMMERCIALE
202526,,CATANIA,CTTD03401V,ITC DE FELICE GIUFFRIDA,PIAZZA ROMA 4,95125,ISTITUTO TECNICO COMMERCIALE
