territorio,territorio_nome,anno,popolazione,occupati,in_cerca,studenti,inattivi_non_studenti,fuori_lavoro_studio,quota_occupati,quota_in_cerca,quota_studenti,quota_inattivi_non_studenti,quota_fuori_lavoro_studio,inattivi_su_fuori,quota_almeno_diploma,quota_occupati_25_49,popolazione_15_34,indice_primo_anno_100,variazione_da_primo_anno_pct
082053,Palermo,2023,66939.99999999999,8328.0,6408.764323054102,42794.69222672,9408.543450225894,15817.307773279996,12.440991933074399,9.573893521144463,63.92992564493577,14.055188900845378,23.62908242198984,59.482584426406895,65.05189947337686,56.68116940850909,135041.0,98.50464290143044,-1.4953570985695563
082053,Palermo,2024,67035.0,8816.0,5553.391286022149,42379.25690284712,10286.351811130733,15839.743097152881,13.15133885283807,8.284316082676435,63.21959708040146,15.344747984084034,23.62906406676047,64.9401429558517,65.63123305544713,58.407974033057585,134461.0,98.08156625890831,-1.9184337410916896
IT,Italia,2018,5835983.0,1071824.0,648851.0,3542878.0,572430.0,1221281.0,18.365783450705734,11.11810983685182,60.70747635831016,9.808630354132285,20.926740190984106,46.871276962468094,70.34255443415765,68.79099144853029,,,
IT,Italia,2019,5826944.0,1102206.0,583791.0,3630369.0,510578.0,1094369.0,18.915678613008808,10.018819470377611,62.30313866067702,8.76236325593656,18.78118272631417,46.65501307145944,71.40469615924225,69.7196167830889,,,
IT,Italia,2021,5789458.0,1162418.0,415827.961716533,3627105.30484888,584106.733434589,999934.695151122,20.07818348453344,7.182502433155798,62.650170445124225,10.089143637186572,17.27164607034237,58.41448809277608,73.61037615265728,71.6553191536372,12002452.0,100.0,0.0
IT,Italia,2022,5833452.0,1252712.0,372606.617173439,3712846.94926825,495286.433558314,867893.050731753,21.474626001893903,6.387412070476264,63.647510072393665,8.490451855236213,14.877863925712477,57.067680532839795,74.85528838345446,72.4334461956103,12063245.0,100.50650483751153,0.5065048375115282
IT,Italia,2023,5871620.0,1284391.0,365172.1406756913,3722484.839827626,499572.01949668257,864744.1601723739,21.87455932093698,6.219274078971243,63.397918118468596,8.508248481623173,14.727522560594416,57.77107756322984,75.29107057864316,73.88360554706873,12097168.0,100.78913875264821,0.7891387526482134
IT,Italia,2024,5911708.0,1319460.0,364684.3575709511,3685326.615319368,542237.0271096807,906921.3846806318,22.319437969534356,6.168849299913851,62.33945613212575,9.172256598426051,15.341105898339901,59.7887574677299,75.88026784098727,74.69806751140631,12144743.0,101.18551609287836,1.185516092878359
ITG1,Sicilia,2018,538311.0,60941.0,88934.0,301493.0,86943.0,175877.0,11.32077925214235,16.52093306657304,56.007215160009736,16.151072521274877,32.67200558784792,49.43397942880536,61.386742653924415,50.333994253835634,,,
ITG1,Sicilia,2019,529159.0,62558.0,85652.0,311017.0,69932.0,155584.0,11.822155533591983,16.186439236599963,58.77571769543748,13.215687534370577,29.40212677097054,44.94806663924311,62.14137800906326,51.26559036465518,,,
ITG1,Sicilia,2021,512782.0,66499.0,46710.2439578994,315075.774787525,84496.98125457535,131207.22521247476,12.968278917746723,9.1091816713339,61.44439055729823,16.4781488536211,25.587330524955004,64.39964042966564,64.81530054644809,54.41530054644809,1060515.0,100.0,0.0
ITG1,Sicilia,2022,511719.0,72565.0,46415.8854669297,320321.944291784,72416.17024128625,118832.05570821595,14.180634293430574,9.070580820123878,62.5972348675316,14.151550018913944,23.22213083903782,60.93992888509751,66.04856256452146,55.70263661714606,1051139.0,99.11590123666332,-0.8840987633366808
ITG1,Sicilia,2023,510286.0,75488.0,44427.49745377027,321042.86783842125,69327.63470780844,113755.13216157872,14.793272792120497,8.706391602703244,62.91430057623004,13.586035028946206,22.29242663164945,60.944621478119245,65.76774040696819,57.70944988698371,1040077.0,98.07282310952698,-1.9271768904730209
