DATAFLOW,FREQ,REF_AREA,INDICATOR,GENDER,AGE_NOCLASS,MARITAL_STATUS,CITIZENSHIP,AREA_CONTRY_CITIZEN,USUAL_RESID_1Y,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_INDICATOR,NOTE_GENDER,NOTE_AGE_NOCLASS,NOTE_MARITAL_STATUS,NOTE_CITIZENSHIP,NOTE_AREA_CONTRY_CITIZEN,NOTE_USUAL_RESID_1Y,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y11,ALL,FRGAPO,ALL,ALL,2021,3,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y11,ALL,ITL,ALL,ALL,2021,64,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y11,ALL,ITL,ALL,ALL,2022,56,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y11,ALL,ITL,ALL,ALL,2023,73,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y11,ALL,ITL,ALL,ALL,2024,71,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y11,ALL,TOTAL,ALL,ALL,2021,67,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y11,ALL,TOTAL,ALL,ALL,2022,56,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y11,ALL,TOTAL,ALL,ALL,2023,73,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y11,ALL,TOTAL,ALL,ALL,2024,71,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y12,ALL,FRGAPO,ALL,ALL,2021,1,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y12,ALL,FRGAPO,ALL,ALL,2022,3,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y12,ALL,ITL,ALL,ALL,2021,65,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y12,ALL,ITL,ALL,ALL,2022,67,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y12,ALL,ITL,ALL,ALL,2023,55,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y12,ALL,ITL,ALL,ALL,2024,73,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y12,ALL,TOTAL,ALL,ALL,2021,66,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y12,ALL,TOTAL,ALL,ALL,2022,70,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y12,ALL,TOTAL,ALL,ALL,2023,55,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y12,ALL,TOTAL,ALL,ALL,2024,73,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y13,ALL,FRGAPO,ALL,ALL,2021,1,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y13,ALL,FRGAPO,ALL,ALL,2022,1,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y13,ALL,FRGAPO,ALL,ALL,2023,3,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y13,ALL,ITL,ALL,ALL,2021,57,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y13,ALL,ITL,ALL,ALL,2022,61,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y13,ALL,ITL,ALL,ALL,2023,68,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y13,ALL,ITL,ALL,ALL,2024,55,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y13,ALL,TOTAL,ALL,ALL,2021,58,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y13,ALL,TOTAL,ALL,ALL,2022,62,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y13,ALL,TOTAL,ALL,ALL,2023,71,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y13,ALL,TOTAL,ALL,ALL,2024,55,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y14,ALL,FRGAPO,ALL,ALL,2022,1,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y14,ALL,FRGAPO,ALL,ALL,2023,1,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y14,ALL,FRGAPO,ALL,ALL,2024,3,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y14,ALL,ITL,ALL,ALL,2021,63,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y14,ALL,ITL,ALL,ALL,2022,60,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y14,ALL,ITL,ALL,ALL,2023,65,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y14,ALL,ITL,ALL,ALL,2024,67,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y14,ALL,TOTAL,ALL,ALL,2021,63,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y14,ALL,TOTAL,ALL,ALL,2022,61,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y14,ALL,TOTAL,ALL,ALL,2023,66,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y14,ALL,TOTAL,ALL,ALL,2024,70,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y15,ALL,FRGAPO,ALL,ALL,2021,4,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y15,ALL,FRGAPO,ALL,ALL,2023,1,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y15,ALL,FRGAPO,ALL,ALL,2024,1,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y15,ALL,ITL,ALL,ALL,2021,59,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y15,ALL,ITL,ALL,ALL,2022,60,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y15,ALL,ITL,ALL,ALL,2023,62,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y15,ALL,ITL,ALL,ALL,2024,66,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y15,ALL,TOTAL,ALL,ALL,2021,63,,,,,,SETA_FILTER,,,,,,,,
IT1:DF_DCSS_POP_DEMCITMIG_SETA_1(1.0),A,082023,RESPOP_AV,F,Y15,ALL,TOTAL,ALL,ALL,2022,60,,,,,,SETA_FILTER,,,,,,,,
